featureID	MO_004.mzXML Peak height	MO_005.mzXML Peak height	MO_007.mzXML Peak height	MO_010.mzXML Peak height	MO_034.mzXML Peak height	MO_035.mzXML Peak height	MO_039.mzXML Peak height	MO_042.mzXML Peak height	MO_046.mzXML Peak height	MO_071.mzXML Peak height	MO_073.mzXML Peak height	MO_074.mzXML Peak height	MO_077.mzXML Peak height	MO_082.mzXML Peak height	MO_098.mzXML Peak height	MO_102.mzXML Peak height	MO_103.mzXML Peak height	MO_106.mzXML Peak height	MO_133.mzXML Peak height	MO_135.mzXML Peak height	MO_138.mzXML Peak height	MO_140.mzXML Peak height	MO_167.mzXML Peak height	MO_170.mzXML Peak height	MO_180.mzXML Peak height	MO_184.mzXML Peak height	MO_188.mzXML Peak height	MO_192.mzXML Peak height	MO_197.mzXML Peak height	MO_199.mzXML Peak height	MO_202.mzXML Peak height	MO_207.mzXML Peak height	MO_226.mzXML Peak height	MO_231.mzXML Peak height	MO_234.mzXML Peak height	MO_236.mzXML Peak height
feature1	1755859.375	698746.375	2312639.75	379067.875	1281452.375	313887.8438	1158416.625	895645.4375	374810.2188	1687640.875	3050105.25	2373227.25	969743.0625	1445473.25	1315406.625	2138250.25	2149775.75	1906778.625	2216994	0	367723.1875	676479.625	3331381.75	0	0	3478874.25	1728725	2538288.25	2366721	1022363.813	816083.0625	726219.125	0	1784388.625	1269853.125	587125.5
feature3	806443.0625	849523.4375	1749121.875	366422.2813	371312.5938	960038.5625	948126.0625	1215596	1064564	448663.5313	613756.375	316611.8125	849076.375	1279110.625	662129.0625	1351173.875	1764286.625	88325.94531	515562.9063	0	1009924.688	673082.4375	0	0	65222.37109	0	0	70073.125	1253886.75	1109195.5	795607.5	245778.3594	0	127950.6406	688983.125	1087476.625
feature6	479638.5625	65578.52344	258959.1719	0	146242.1875	72753.97656	0	0	65083.89844	0	0	0	0	0	0	0	0	88103.625	142159.375	201304.0469	74452.03906	0	1399055.25	0	0	3281770	500875.7188	0	254239.9219	0	255403.9219	64106.29688	0	82455.95313	0	0
feature8	397287.4688	260434.375	478959.75	256039.4375	524286.5625	355081.75	759414.8125	384407.875	259534.3906	704785.875	1143765	450858.6563	564396.125	356708.9063	858733.375	820203.1875	1051428.125	873542	845383.25	479600.875	299353.4375	371782.4688	1480683.875	1481901.5	805074.5	1380847.375	1616545.5	1127937.25	481317.0938	455745.6875	233902.5625	256972.0469	498788.8125	493331.1875	383247.3438	215695.9063
feature9	322264	664882.125	1961488.25	816198.75	133726.5	29572.97461	0	289312.4063	54685.70313	20026.76563	40534.08984	99502.11719	0	14046.1416	8451.033203	49074.48828	449200.625	16700.5918	13807.16992	0	0	26921.01172	0	0	0	0	0	0	46319.95313	549448.0625	488016.9688	0	12384.23145	0	27949.8418	0
feature10	297150.1875	221950.4219	129096.4063	65832.70313	246539.1094	107473.7656	273970.7188	243111.2969	238218.8125	540198.25	1096054.625	181686.2656	418827.2188	943337.4375	1217922.5	1551016.25	259553.4063	936870.25	237340.75	104857.125	237161	287834.3438	492517.0625	389011.875	533602.375	660410.4375	0	0	0	0	0	0	0	0	0	0
feature11	295965.4375	142537.0625	406232.0313	168628.5781	161517.9844	169188.7656	256454.2813	161919.6094	176867.9219	0	0	0	0	0	0	0	0	0	0	0	133329.4375	0	447943.5625	0	0	0	0	0	0	0	0	0	0	0	0	0
feature12	295532.7188	0	253334	173418.125	433289.6875	0	0	0	0	377304.2813	679543.25	0	0	0	0	0	0	0	453578.9688	0	266707.6563	276002	0	0	1518146.125	2212166.5	0	2079961.625	676143.4375	0	0	0	0	0	267650.1875	0
feature13	280122.25	110414.1406	152046.0313	138222.6094	112727.5625	72071.78906	147819.7656	96410.4375	133614.0313	168274.5	121497.3438	59805.66016	48299.26563	203153.0156	126036.8984	64037.94141	72738.88281	121262.2344	204105.2031	76098.44531	67741.60156	165573.375	205703.3906	261193.25	89306.09375	415141.9688	139793.8906	334283.5	144696.0625	53470.5625	95454.24219	111512.8047	149347.9844	72265.98438	93403.16406	61860.45703
feature15	273542.3125	105773.1797	160611.6094	61948.22266	289709.3125	29668.24609	121191.875	118659.5156	78767.21094	224974.875	243325.9063	86910.90625	67350.80469	65046.05859	75208.15625	0	0	102339.7578	0	31108.1875	0	95482.625	158499.6094	0	135883.3281	176552.1875	0	0	164378.7344	0	55824.01953	41675.73828	0	0	0	31143.77344
feature17	237202.5938	192120.4688	413409.4375	365796.9375	272009.0313	153100.5625	334225.125	160516.375	211114.8281	193246.5469	322064.4063	341581.8438	227972.3594	213758.9375	244643.8125	324811.0313	537250.1875	200516.7969	178969.875	335293.4063	140450.25	187051.6094	264583.5625	271112.0625	328456.25	340066.8125	233526.2813	346819.7188	200573.2031	320730.2813	359775.5313	138903.4375	286062.0313	325024.7188	254793.875	192975.3906
feature18	229100.6094	150481.7813	578497.9375	410879.1563	260791.75	113631.8203	376025.5938	117534.2188	168862.0469	156997.7969	332623.4375	396596.8125	200221.1094	182061.3438	212694.7969	344802.4063	955951.3125	184680.9844	156631.25	379763.9688	99834.875	149707.8438	318459.5	295235.4375	448635.0313	507468.75	253885.6875	442991.1563	155568.125	324702.125	421194.5625	97721.4375	260939.3125	345430.0625	215937.1406	149862.2031
feature19	228942.9688	101275.1094	119715.375	37106.09766	210676.4531	99058.64844	192375.875	89729.22656	184144.5156	299728.3125	411350.25	151050.8438	158752.4844	188382.4531	759049.375	673381.9375	220717.5625	505885.75	181969.0469	177673.5	64364.85938	132403.3594	487949.0625	563898.0625	228668.2031	447413.4688	585502.3125	368268.0313	501031.4375	90750.53906	59646.92578	108484.5625	126739.4141	796843	152732.5938	50154.04297
feature21	161508	113102.0156	226176.8438	58741.89453	43522.51172	52877.79297	159879.2188	67836.09375	63402.72656	52785.35938	194678.6094	55048.90234	101149.375	130428.6641	125442.7656	156225.2969	258836.1094	203992.0625	119341.6719	103945.7031	71814.92188	38664.14844	137282.4688	224724.2969	174243.7188	258610.9063	271686.2188	222267	71226.01563	182266.2969	91182.07813	23872.33594	0	121472.5469	87484.41406	84886.25
feature22	161032.1094	50874.1875	186476.9844	125413.875	294098.4375	186485.3281	209837.4844	174405.0156	0	367687.4375	450153.625	275525.5	141045.5469	113608.1875	315683.75	480445.8438	246139.1719	388481.8125	323637.125	196224.125	123544.2109	229334.75	546723.5	0	0	561539.4375	503538.8125	366398.2188	206647.1875	127152.9063	130749.9609	94732.64844	0	116215.6563	207964.2031	82275.07813
feature23	158234.5781	103259.3906	195912.2344	100337.1406	222367.4688	135088.9063	318894.875	163570.3594	98442.75781	306100.9375	0	191201.25	245579.8594	138634.9844	352122.5938	384196.4375	491538.5	397655.875	382856.9375	181192.25	114570.625	160913.6875	720922.3125	754233.6875	360566.0313	733597.1875	839963.75	503320.2188	207466.4219	194961.2656	94229.17188	98870.5	0	193512.8125	163016.0313	83036.35938
feature24	154832.7031	106278.1484	0	0	0	138241.2031	0	0	101789.5781	265575.0313	416576.4375	186364.7969	224420.2813	138457.2344	318020.0313	0	384860.25	330298.1563	319276.5938	178906.4219	114682.9766	0	0	536267.9375	317870.375	500588.5313	588252.125	401613.9688	191217.1875	182593.125	101587.625	104724.6719	192420.4063	188049.9844	156384.75	88421.38281
feature25	154701.5781	0	0	0	233454.6406	0	129470.4766	0	110044.9141	0	96381.28906	58075.8125	137510.0313	0	0	0	87202.08594	0	113660.4453	68350.78125	0	102659.3359	0	0	0	0	35606.98828	0	0	0	0	0	108481.9219	0	0	0
feature26	150493.2188	98764.96094	0	0	71362.17188	59414.46484	87324.66406	211775.875	52896.90234	64301.88281	78706.60938	0	0	68419.97656	70892.58594	106437.7266	0	0	0	0	0	46805.70703	162404.5938	360998.8438	108911.1172	432085.125	431110.0313	0	117200.5938	0	0	52009.3125	81016.13281	182269.5781	86996.57031	138077.7656
feature28	146270.375	96427.51563	94060.67969	35624.77734	101607.9297	28808.80469	64180.38281	50073.76172	79485.11719	160182.2031	99395.99219	102825.3438	63449.55469	41058.3125	56990.95703	79293.57813	119964.6875	126902.4063	101668.0313	78549.46094	90910.57813	73139.96094	42922.20313	99814.3125	12766.1543	50688.41406	162706.7188	113179.8984	62279.65625	24421.78125	82558.08594	109743.9219	67291.15625	38288.78906	30331.02734	42328.18359
feature29	145745.3906	124142.4609	237927.0625	176571.1563	193568.1719	30734.60156	132147.9219	234693.9688	75144.39063	169214.5625	0	164899.6875	150054.9688	102887.3516	123642.8594	313366.5	254269.375	436972.5625	19788.27734	139600.1563	49593.33984	170071.2656	470216.75	0	0	330649.3438	0	125262.1328	322274.375	0	120317.3984	118354.625	0	0	162573.0781	80263.125
feature30	141280.7813	2864.314941	1775.557373	1223.886475	0	1275.408325	0	0	1997.385742	1932.586914	0	0	0	1568.183472	2464.019287	1602.421509	0	0	0	0	1780.827637	2497.812744	0	0	12189.12012	0	0	0	0	0	0	0	0	0	1834.675049	0
