featureID	mz	rt
feature1	609.2711334	20.78846354
feature3	593.2752726	21.25286667
feature6	639.2820255	21.7470098
feature8	641.4232008	19.9863287
feature9	393.263922	19.93217391
feature10	567.2970628	17.31573077
feature11	623.2860607	22.41365152
feature12	625.2633754	20.40204762
feature13	415.3514442	12.15532083
feature15	339.2864282	21.82228667
feature17	515.3197556	15.87923519
feature18	331.2837486	15.87923519
feature19	611.2885598	15.42518889
feature21	689.2469988	19.11327619
feature22	605.2397928	20.71560937
feature23	659.4338846	19.98679902
feature24	581.4004059	19.98089881
feature25	297.2401698	11.69805128
feature26	313.1331336	7.169074306
feature28	387.3210314	10.68912361
feature29	549.2504946	21.82358046
feature30	275.2005757	17.90685714
feature31	347.2202498	14.63317402
feature32	291.1945389	14.79528667
feature35	358.3089498	21.37406566
feature36	513.3039051	14.08690139
feature38	297.2420995	16.80927451
feature39	325.2347626	14.63271381
feature40	474.3782885	16.32420238
feature43	271.2620417	18.00997222
feature45	579.3068763	16.56735926
feature47	603.2244559	20.86273232
feature50	551.2681325	19.85866667
feature51	298.2747089	16.97380952
feature52	241.252374	21.28432857
feature53	241.2517373	15.89558172
feature54	289.1782837	14.32461667
feature55	281.2468079	20.34481905
feature56	329.2684765	14.08785156
feature57	681.4144346	19.9745
feature58	1007.649451	15.87923519
feature59	379.24783	17.2322807
feature60	457.3991801	12.65062407
feature62	279.2287987	15.22209417
feature64	490.372765	14.36895926
feature66	323.2195883	19.84921078
feature67	429.3668991	12.37654833
feature68	631.4483643	21.11952083
feature69	237.22125	19.85056373
feature70	629.4416863	19.43643627
feature71	388.3051615	19.91871111
feature72	689.5174652	16.25503056
feature73	291.1450586	7.1714875
feature75	425.2153386	18.23349444
feature76	565.2809781	22.41365152
feature77	353.2295647	8.784071296
feature78	579.2633267	18.83974713
feature79	893.3825531	14.18395833
feature80	253.2524526	18.0324359
feature81	303.2317548	16.1171619
feature82	308.1732572	7.172535417
feature84	324.3205156	21.80132692
feature85	500.3937475	16.829125
feature86	349.2000026	13.68952524
feature87	510.3620653	15.88276494
feature88	707.258994	19.11327619
feature89	549.250885	22.19251515
feature90	671.3078623	20.46939247
feature91	221.2266504	17.1429386
feature92	275.25794	12.15266845
feature94	297.2769307	18.60279167
feature95	269.1677216	11.24133
feature96	227.0894158	4.102227273
feature97	631.2535868	20.7909375
feature98	599.4456918	18.69899524
feature99	631.2537369	20.2434086
feature101	677.3726459	13.50075509
feature107	253.2165833	18.29491398
feature108	307.2242776	14.63257333
feature109	326.3046247	19.21064286
feature112	577.4746305	18.7079359
feature113	230.1395234	9.258917949
feature114	352.3085151	19.58474479
feature118	557.3232356	16.57247143
feature119	540.4486037	20.46942308
feature120	407.2795982	20.6465625
feature121	496.3619848	16.32330222
feature122	609.4548492	21.08398958
feature123	487.2882368	13.4985537
feature124	750.5608444	16.25484792
feature125	259.164566	9.636089583
feature126	455.3811432	12.71512167
feature128	317.2094693	16.10155556
feature129	244.1551647	10.6524581
feature130	211.2054025	18.73694203
feature132	331.2832845	18.04155556
feature133	293.2445338	17.93903846
feature134	452.393659	20.71227778
feature135	287.2210324	12.61534355
feature136	205.107505	4.106071667
feature138	547.3334711	18.25998485
feature140	358.2666835	3.504678333
feature143	623.2868079	21.36034667
feature145	675.2310349	17.41531034
feature146	277.1823506	13.69098426
feature147	562.3734072	13.33637407
feature148	380.3004964	20.38822222
feature151	317.3028689	21.83233951
feature152	508.3451821	14.08760095
feature154	748.54586	15.59541398
