,MO_004,MO_005,MO_007,MO_010,MO_034,MO_035,MO_039,MO_042,MO_046,MO_071,MO_073,MO_074,MO_077,MO_082,MO_098,MO_102,MO_103,MO_106,MO_133,MO_135,MO_138,MO_140,MO_197,MO_199,MO_202,MO_207,MO_226,MO_231,MO_234,MO_236
MO_004,0,0.525423728813559,0.733333333333333,0.810810810810811,0.794117647058823,0.936507936507937,1,1,0.761904761904762,0.612403100775194,0.7,0.884057971014493,0.651006711409396,0.696969696969697,0.72,0.813953488372093,0.911764705882353,1,0.744444444444444,0.922705314009662,0.744360902255639,0.722222222222222,0.696,0.950819672131147,0.777777777777778,0.920634920634921,0.96969696969697,0.971830985915493,1,0.979166666666667
MO_005,0.525423728813559,0,0.763440860215054,0.826086956521739,0.86046511627907,0.902777777777778,1,1,0.803921568627451,0.673469387755102,0.813559322033898,0.866666666666667,0.652694610778443,0.66120218579235,0.76271186440678,0.730769230769231,0.974025974025974,0.95959595959596,0.717171717171717,0.902222222222222,0.748344370860927,0.717171717171717,0.692307692307692,0.957142857142857,0.802469135802469,0.902777777777778,0.946666666666667,1,0.969230769230769,0.982456140350877
MO_007,0.733333333333333,0.763440860215054,0,0.795918367346939,0.813953488372093,0.920792079207921,1,1,0.728813559322034,0.711538461538462,0.733333333333333,0.879120879120879,0.774193548387097,0.771428571428571,0.84,0.868852459016393,0.945945945945946,0.928571428571429,0.870967741935484,0.978021978021978,0.796296296296296,0.806451612903226,0.78,0.979381443298969,0.831932773109244,1,0.962616822429907,1,0.977011494252874,0.943661971830986
MO_010,0.810810810810811,0.826086956521739,0.795918367346939,0,0.857142857142857,1,0.925925925925926,0.939393939393939,0.862068965517241,0.825242718446602,0.810810810810811,0.900552486187845,0.804878048780488,0.856115107913669,0.918918918918919,0.933333333333333,0.872727272727273,0.927272727272727,0.883116883116883,0.94475138121547,0.88785046728972,0.922077922077922,0.838383838383838,1,0.864406779661017,0.96,1,1,0.953488372093023,0.942857142857143
MO_034,0.794117647058823,0.86046511627907,0.813953488372093,0.857142857142857,0,0.893617021276596,1,1,0.692307692307692,0.876288659793814,0.823529411764706,0.965714285714286,0.88034188034188,0.894736842105263,0.882352941176471,0.888888888888889,0.961538461538462,1,0.959459459459459,0.954285714285714,1,0.945945945945946,0.849462365591398,0.977777777777778,0.946428571428571,0.957446808510638,0.9,1,0.975,0.9375
MO_035,0.936507936507937,0.902777777777778,0.920792079207921,1,0.893617021276596,0,1,1,0.909090909090909,0.883870967741936,0.904761904761905,0.862660944206009,0.828571428571429,0.916230366492147,0.873015873015873,0.964285714285714,0.901234567901235,0.981308411214953,0.980582524271845,0.879828326180258,0.962264150943396,0.902912621359223,0.801324503311258,0.959459459459459,0.941176470588235,0.868421052631579,0.873417721518987,0.958762886597938,0.971014492753623,0.918032786885246
MO_039,1,1,1,0.925925925925926,1,1,0,0.833333333333333,1,1,1,0.975,1,1,1,1,0.955056179775281,0.941176470588235,1,0.9625,1,0.984962406015038,0.974358974358974,0.973333333333333,0.979381443298969,0.974683544303797,0.952941176470588,0.916666666666667,0.907692307692308,1
MO_042,1,1,1,0.939393939393939,1,1,0.833333333333333,0,1,0.931818181818182,0.966101694915254,0.963855421686747,0.944444444444444,0.951612903225806,0.966101694915254,0.955555555555556,0.894736842105263,1,0.942446043165468,0.975903614457831,0.978260869565217,0.956834532374101,0.976190476190476,1,0.961165048543689,1,0.978021978021978,0.933333333333333,0.971830985915493,0.963636363636364
MO_046,0.761904761904762,0.803921568627451,0.728813559322034,0.862068965517241,0.692307692307692,0.909090909090909,1,1,0,0.823008849557522,0.785714285714286,0.884816753926702,0.759398496240602,0.838926174496644,0.761904761904762,0.771428571428571,0.866666666666667,0.969230769230769,0.878048780487805,0.979057591623037,0.88034188034188,0.865853658536585,0.81651376146789,0.962264150943396,0.890625,0.890909090909091,0.844827586206897,0.963636363636364,0.895833333333333,0.825
MO_071,0.612403100775194,0.673469387755102,0.711538461538462,0.825242718446602,0.876288659793814,0.883870967741936,1,0.931818181818182,0.823008849557522,0,0.751937984496124,0.796610169491525,0.50561797752809,0.690721649484536,0.751937984496124,0.791304347826087,0.866666666666667,1,0.607655502392344,0.932203389830508,0.641975308641975,0.598086124401914,0.597402597402597,0.973509933774834,0.734104046242775,0.896774193548387,0.975155279503106,0.96,0.971631205673759,0.904
MO_073,0.7,0.813559322033898,0.733333333333333,0.810810810810811,0.823529411764706,0.904761904761905,1,0.966101694915254,0.785714285714286,0.751937984496124,0,0.932367149758454,0.74496644295302,0.76969696969697,0.76,0.837209302325581,0.897058823529412,0.925925925925926,0.711111111111111,0.884057971014493,0.654135338345865,0.755555555555556,0.776,0.950819672131147,0.805555555555556,0.936507936507937,0.924242424242424,0.887323943661972,0.910714285714286,0.833333333333333
MO_074,0.884057971014493,0.866666666666667,0.879120879120879,0.900552486187845,0.965714285714286,0.862660944206009,0.975,0.963855421686747,0.884816753926702,0.796610169491525,0.932367149758454,0,0.8046875,0.808823529411765,0.91304347826087,0.917098445595855,0.777777777777778,0.893617021276596,0.790940766550523,0.75796178343949,0.85,0.804878048780488,0.853448275862069,0.903930131004367,0.832669322709163,0.896995708154506,0.899581589958159,0.97752808988764,0.89041095890411,0.931034482758621
MO_077,0.651006711409396,0.652694610778443,0.774193548387097,0.804878048780488,0.88034188034188,0.828571428571429,1,0.944444444444444,0.759398496240602,0.50561797752809,0.74496644295302,0.8046875,0,0.579439252336449,0.691275167785235,0.851851851851852,0.881081081081081,0.953846153846154,0.563318777292576,0.90625,0.615384615384615,0.563318777292576,0.67816091954023,0.976608187134503,0.72020725388601,0.885714285714286,0.933701657458563,0.983333333333333,0.987577639751553,0.903448275862069
MO_082,0.696969696969697,0.66120218579235,0.771428571428571,0.856115107913669,0.894736842105263,0.916230366492147,1,0.951612903225806,0.838926174496644,0.690721649484536,0.76969696969697,0.808823529411765,0.579439252336449,0,0.733333333333333,0.854304635761589,0.940298507462687,0.986301369863014,0.624489795918367,0.963235294117647,0.686868686868687,0.616326530612245,0.726315789473684,0.957219251336898,0.703349282296651,0.947643979057592,0.939086294416244,0.970588235294118,0.966101694915254,0.91304347826087
MO_098,0.72,0.76271186440678,0.84,0.918918918918919,0.882352941176471,0.873015873015873,1,0.966101694915254,0.761904761904762,0.751937984496124,0.76,0.91304347826087,0.691275167785235,0.733333333333333,0,0.674418604651163,0.852941176470588,0.950617283950617,0.822222222222222,0.922705314009662,0.819548872180451,0.755555555555556,0.792,0.950819672131147,0.75,0.857142857142857,0.863636363636364,0.943661971830986,0.928571428571429,0.895833333333333
MO_102,0.813953488372093,0.730769230769231,0.868852459016393,0.933333333333333,0.888888888888889,0.964285714285714,1,0.955555555555556,0.771428571428571,0.791304347826087,0.837209302325581,0.917098445595855,0.851851851851852,0.854304635761589,0.674418604651163,0,0.819672131147541,0.970149253731343,0.855421686746988,0.968911917098446,0.831932773109244,0.819277108433735,0.81981981981982,0.981481481481482,0.907692307692308,0.821428571428571,0.983050847457627,0.964912280701754,0.959183673469388,0.878048780487805
MO_103,0.911764705882353,0.974025974025974,0.945945945945946,0.872727272727273,0.961538461538462,0.901234567901235,0.955056179775281,0.894736842105263,0.866666666666667,0.866666666666667,0.897058823529412,0.777777777777778,0.881081081081081,0.940298507462687,0.852941176470588,0.819672131147541,0,0.846153846153846,0.907407407407407,0.818930041152263,0.940828402366864,0.87037037037037,0.875776397515528,0.835443037974684,0.8,0.827160493827161,0.880952380952381,0.925233644859813,0.891891891891892,0.939393939393939
MO_106,1,0.95959595959596,0.928571428571429,0.927272727272727,1,0.981308411214953,0.941176470588235,1,0.969230769230769,1,0.925925925925926,0.893617021276596,0.953846153846154,0.986301369863014,0.950617283950617,0.970149253731343,0.846153846153846,0,0.962732919254658,0.882978723404255,0.947368421052632,0.962732919254658,0.905660377358491,0.825242718446602,0.872,0.813084112149533,0.858407079646018,0.923076923076923,0.849462365591398,0.922077922077922
MO_133,0.744444444444444,0.717171717171717,0.870967741935484,0.883116883116883,0.959459459459459,0.980582524271845,1,0.942446043165468,0.878048780487805,0.607655502392344,0.711111111111111,0.790940766550523,0.563318777292576,0.624489795918367,0.822222222222222,0.855421686746988,0.907407407407407,0.962732919254658,0,0.846689895470383,0.408450704225352,0.338461538461538,0.746341463414634,0.98019801980198,0.803571428571429,0.932038834951456,0.962264150943396,0.986754966887417,0.958333333333333,0.920454545454545
MO_135,0.922705314009662,0.902222222222222,0.978021978021978,0.94475138121547,0.954285714285714,0.879828326180258,0.9625,0.975903614457831,0.979057591623037,0.932203389830508,0.884057971014493,0.75796178343949,0.90625,0.963235294117647,0.922705314009662,0.968911917098446,0.818930041152263,0.882978723404255,0.846689895470383,0,0.858333333333333,0.825783972125436,0.922413793103448,0.868995633187773,0.880478087649402,0.871244635193133,0.916317991631799,0.932584269662921,0.899543378995434,0.990147783251232
MO_138,0.744360902255639,0.748344370860927,0.796296296296296,0.88785046728972,1,0.962264150943396,1,0.978260869565217,0.88034188034188,0.641975308641975,0.654135338345865,0.85,0.615384615384615,0.686868686868687,0.819548872180451,0.831932773109244,0.940828402366864,0.947368421052632,0.408450704225352,0.858333333333333,0,0.436619718309859,0.708860759493671,0.987096774193548,0.807909604519774,0.911949685534591,0.975757575757576,1,0.986206896551724,0.953488372093023
MO_140,0.722222222222222,0.717171717171717,0.806451612903226,0.922077922077922,0.945945945945946,0.902912621359223,0.984962406015038,0.956834532374101,0.865853658536585,0.598086124401914,0.755555555555556,0.804878048780488,0.563318777292576,0.616326530612245,0.755555555555556,0.819277108433735,0.87037037037037,0.962732919254658,0.338461538461538,0.825783972125436,0.436619718309859,0,0.697560975609756,0.97029702970297,0.758928571428571,0.902912621359223,0.952830188679245,0.986754966887417,0.947916666666667,0.943181818181818
MO_197,0.696,0.692307692307692,0.78,0.838383838383838,0.849462365591398,0.801324503311258,0.974358974358974,0.976190476190476,0.81651376146789,0.597402597402597,0.776,0.853448275862069,0.67816091954023,0.726315789473684,0.792,0.81981981981982,0.875776397515528,0.905660377358491,0.746341463414634,0.922413793103448,0.708860759493671,0.697560975609756,0,0.931972789115646,0.633136094674556,0.774834437086093,0.923566878980892,0.979166666666667,0.927007299270073,0.884297520661157
MO_199,0.950819672131147,0.957142857142857,0.979381443298969,1,0.977777777777778,0.959459459459459,0.973333333333333,1,0.962264150943396,0.973509933774834,0.950819672131147,0.903930131004367,0.976608187134503,0.957219251336898,0.950819672131147,0.981481481481482,0.835443037974684,0.825242718446602,0.98019801980198,0.868995633187773,0.987096774193548,0.97029702970297,0.931972789115646,0,0.72289156626506,0.662162162162162,0.818181818181818,0.827956989247312,0.865671641791045,0.932203389830508
MO_202,0.777777777777778,0.802469135802469,0.831932773109244,0.864406779661017,0.946428571428571,0.941176470588235,0.979381443298969,0.961165048543689,0.890625,0.734104046242775,0.805555555555556,0.832669322709163,0.72020725388601,0.703349282296651,0.75,0.907692307692308,0.8,0.872,0.803571428571429,0.880478087649402,0.807909604519774,0.758928571428571,0.633136094674556,0.72289156626506,0,0.729411764705882,0.829545454545455,0.843478260869565,0.82051282051282,0.857142857142857
MO_207,0.920634920634921,0.902777777777778,1,0.96,0.957446808510638,0.868421052631579,0.974683544303797,1,0.890909090909091,0.896774193548387,0.936507936507937,0.896995708154506,0.885714285714286,0.947643979057592,0.857142857142857,0.821428571428571,0.827160493827161,0.813084112149533,0.932038834951456,0.871244635193133,0.911949685534591,0.902912621359223,0.774834437086093,0.662162162162162,0.729411764705882,0,0.784810126582278,0.917525773195876,0.768115942028985,0.704918032786885
MO_226,0.96969696969697,0.946666666666667,0.962616822429907,1,0.9,0.873417721518987,0.952941176470588,0.978021978021978,0.844827586206897,0.975155279503106,0.924242424242424,0.899581589958159,0.933701657458563,0.939086294416244,0.863636363636364,0.983050847457627,0.880952380952381,0.858407079646018,0.962264150943396,0.916317991631799,0.975757575757576,0.952830188679245,0.923566878980892,0.818181818181818,0.829545454545455,0.784810126582278,0,0.941747572815534,0.694444444444444,0.78125
MO_231,0.971830985915493,1,1,1,1,0.958762886597938,0.916666666666667,0.933333333333333,0.963636363636364,0.96,0.887323943661972,0.97752808988764,0.983333333333333,0.970588235294118,0.943661971830986,0.964912280701754,0.925233644859813,0.923076923076923,0.986754966887417,0.932584269662921,1,0.986754966887417,0.979166666666667,0.827956989247312,0.843478260869565,0.917525773195876,0.941747572815534,0,0.879518072289157,0.791044776119403
MO_234,1,0.969230769230769,0.977011494252874,0.953488372093023,0.975,0.971014492753623,0.907692307692308,0.971830985915493,0.895833333333333,0.971631205673759,0.910714285714286,0.89041095890411,0.987577639751553,0.966101694915254,0.928571428571429,0.959183673469388,0.891891891891892,0.849462365591398,0.958333333333333,0.899543378995434,0.986206896551724,0.947916666666667,0.927007299270073,0.865671641791045,0.82051282051282,0.768115942028985,0.694444444444444,0.879518072289157,0,0.740740740740741
MO_236,0.979166666666667,0.982456140350877,0.943661971830986,0.942857142857143,0.9375,0.918032786885246,1,0.963636363636364,0.825,0.904,0.833333333333333,0.931034482758621,0.903448275862069,0.91304347826087,0.895833333333333,0.878048780487805,0.939393939393939,0.922077922077922,0.920454545454545,0.990147783251232,0.953488372093023,0.943181818181818,0.884297520661157,0.932203389830508,0.857142857142857,0.704918032786885,0.78125,0.791044776119403,0.740740740740741,0
