,MO_004,MO_005,MO_007,MO_010,MO_034,MO_035,MO_039,MO_042,MO_046,MO_071,MO_073,MO_074,MO_077,MO_082,MO_098,MO_102,MO_103,MO_106,MO_133,MO_135,MO_138,MO_140,MO_197,MO_199,MO_202,MO_207,MO_226,MO_231,MO_234,MO_236
MO_004,0,0.627118644067797,0.786666666666667,0.810810810810811,0.764705882352941,0.968253968253968,1,0.966101694915254,0.738095238095238,0.627906976744186,0.7,0.922705314009662,0.651006711409396,0.696969696969697,0.74,0.790697674418605,0.897058823529412,1,0.766666666666667,0.942028985507246,0.774436090225564,0.766666666666667,0.68,0.967213114754098,0.763888888888889,0.920634920634921,0.954545454545455,0.915492957746479,0.982142857142857,0.833333333333333
MO_005,0.627118644067797,0,0.827956989247312,0.869565217391304,0.86046511627907,0.930555555555556,1,0.948051948051948,0.823529411764706,0.673469387755102,0.813559322033898,0.911111111111111,0.652694610778443,0.672131147540984,0.779661016949153,0.75,0.961038961038961,0.97979797979798,0.686868686868687,0.928888888888889,0.721854304635762,0.727272727272727,0.636363636363636,0.971428571428571,0.765432098765432,0.902777777777778,0.946666666666667,0.97752808988764,0.984615384615385,0.912280701754386
MO_007,0.786666666666667,0.827956989247312,0,0.836734693877551,0.813953488372093,0.98019801980198,1,1,0.796610169491525,0.730769230769231,0.76,0.912087912087912,0.82258064516129,0.785714285714286,0.84,0.868852459016393,0.945945945945946,0.964285714285714,0.92258064516129,0.978021978021978,0.851851851851852,0.806451612903226,0.8,0.979381443298969,0.848739495798319,0.98019801980198,0.981308411214953,0.91304347826087,1,0.915492957746479
MO_010,0.810810810810811,0.869565217391304,0.836734693877551,0,0.857142857142857,1,0.925925925925926,0.939393939393939,0.827586206896552,0.825242718446602,0.783783783783784,0.900552486187845,0.83739837398374,0.856115107913669,0.918918918918919,0.933333333333333,0.909090909090909,0.927272727272727,0.883116883116883,0.955801104972376,0.869158878504673,0.961038961038961,0.838383838383838,0.979166666666667,0.864406779661017,0.96,0.962264150943396,1,0.976744186046512,0.914285714285714
MO_034,0.764705882352941,0.86046511627907,0.813953488372093,0.857142857142857,0,0.914893617021277,1,1,0.730769230769231,0.855670103092783,0.852941176470588,0.954285714285714,0.88034188034188,0.924812030075188,0.941176470588235,0.851851851851852,0.961538461538462,1,0.972972972972973,0.988571428571429,0.96039603960396,0.972972972972973,0.806451612903226,0.977777777777778,0.892857142857143,0.957446808510638,0.94,1,1,0.90625
MO_035,0.968253968253968,0.930555555555556,0.98019801980198,1,0.914893617021277,0,1,1,0.945454545454545,0.92258064516129,0.936507936507937,0.905579399141631,0.84,0.947643979057592,0.920634920634921,1,0.975308641975309,0.981308411214953,1,0.948497854077253,0.987421383647799,0.961165048543689,0.801324503311258,1,0.964705882352941,0.855263157894737,0.911392405063291,1,0.971014492753623,0.918032786885246
MO_039,1,1,1,0.925925925925926,1,1,0,0.833333333333333,1,1,1,0.975,1,1,1,1,0.955056179775281,0.941176470588235,1,0.975,1,1,1,1,0.979381443298969,1,0.976470588235294,1,0.938461538461538,1
MO_042,0.966101694915254,0.948051948051948,1,0.939393939393939,1,1,0.833333333333333,0,0.953488372093023,0.931818181818182,0.966101694915254,0.963855421686747,0.944444444444444,0.919354838709677,0.966101694915254,0.955555555555556,0.91578947368421,1,0.942446043165468,0.975903614457831,0.956521739130435,0.956834532374101,0.976190476190476,1,0.961165048543689,1,1,1,0.971830985915493,0.927272727272727
MO_046,0.738095238095238,0.823529411764706,0.796610169491525,0.827586206896552,0.730769230769231,0.945454545454545,1,0.953488372093023,0,0.805309734513274,0.833333333333333,0.916230366492147,0.759398496240602,0.838926174496644,0.833333333333333,0.8,0.933333333333333,1,0.902439024390244,1,0.88034188034188,0.914634146341463,0.834862385321101,0.943396226415094,0.90625,0.909090909090909,0.913793103448276,0.963636363636364,0.958333333333333,0.825
MO_071,0.627906976744186,0.673469387755102,0.730769230769231,0.825242718446602,0.855670103092783,0.92258064516129,1,0.931818181818182,0.805309734513274,0,0.736434108527132,0.822033898305085,0.471910112359551,0.639175257731959,0.798449612403101,0.773913043478261,0.903030303030303,1,0.54066985645933,0.974576271186441,0.617283950617284,0.569377990430622,0.61038961038961,0.973509933774834,0.699421965317919,0.896774193548387,0.975155279503106,0.94,0.985815602836879,0.808
MO_073,0.7,0.813559322033898,0.76,0.783783783783784,0.852941176470588,0.936507936507937,1,0.966101694915254,0.833333333333333,0.736434108527132,0,0.903381642512077,0.718120805369127,0.76969696969697,0.76,0.813953488372093,0.882352941176471,0.925925925925926,0.733333333333333,0.884057971014493,0.593984962406015,0.755555555555556,0.744,0.934426229508197,0.763888888888889,0.936507936507937,0.939393939393939,0.915492957746479,0.928571428571429,0.770833333333333
MO_074,0.922705314009662,0.911111111111111,0.912087912087912,0.900552486187845,0.954285714285714,0.905579399141631,0.975,0.963855421686747,0.916230366492147,0.822033898305085,0.903381642512077,0,0.84375,0.882352941176471,0.893719806763285,0.917098445595855,0.843621399176955,0.936170212765957,0.790940766550523,0.904458598726115,0.841666666666667,0.839721254355401,0.870689655172414,0.938864628820961,0.864541832669323,0.965665236051502,0.949790794979079,0.955056179775281,0.926940639269406,0.921182266009852
MO_077,0.651006711409396,0.652694610778443,0.82258064516129,0.83739837398374,0.88034188034188,0.84,1,0.944444444444444,0.759398496240602,0.471910112359551,0.718120805369127,0.84375,0,0.635514018691589,0.731543624161074,0.866666666666667,0.913513513513514,0.984615384615385,0.59825327510917,0.9296875,0.593406593406593,0.59825327510917,0.67816091954023,0.953216374269006,0.730569948186529,0.897142857142857,0.933701657458563,0.95,0.962732919254658,0.806896551724138
MO_082,0.696969696969697,0.672131147540984,0.785714285714286,0.856115107913669,0.924812030075188,0.947643979057592,1,0.919354838709677,0.838926174496644,0.639175257731959,0.76969696969697,0.882352941176471,0.635514018691589,0,0.733333333333333,0.801324503311258,0.920398009950249,0.986301369863014,0.648979591836735,0.963235294117647,0.666666666666667,0.66530612244898,0.747368421052632,0.957219251336898,0.712918660287081,0.93717277486911,0.959390862944162,0.941176470588235,0.988700564971751,0.850931677018634
MO_098,0.74,0.779661016949153,0.84,0.918918918918919,0.941176470588235,0.920634920634921,1,0.966101694915254,0.833333333333333,0.798449612403101,0.76,0.893719806763285,0.731543624161074,0.733333333333333,0,0.651162790697674,0.926470588235294,0.975308641975309,0.811111111111111,0.961352657004831,0.774436090225564,0.788888888888889,0.776,0.967213114754098,0.833333333333333,0.888888888888889,0.954545454545455,0.971830985915493,0.964285714285714,0.770833333333333
MO_102,0.790697674418605,0.75,0.868852459016393,0.933333333333333,0.851851851851852,1,1,0.955555555555556,0.8,0.773913043478261,0.813953488372093,0.917098445595855,0.866666666666667,0.801324503311258,0.651162790697674,0,0.852459016393443,0.970149253731343,0.843373493975904,0.989637305699482,0.865546218487395,0.843373493975904,0.765765765765766,0.981481481481482,0.923076923076923,0.857142857142857,0.966101694915254,0.929824561403509,0.959183673469388,0.853658536585366
MO_103,0.897058823529412,0.961038961038961,0.945945945945946,0.909090909090909,0.961538461538462,0.975308641975309,0.955056179775281,0.91578947368421,0.933333333333333,0.903030303030303,0.882352941176471,0.843621399176955,0.913513513513514,0.920398009950249,0.926470588235294,0.852459016393443,0,0.863247863247863,0.898148148148148,0.909465020576132,0.928994082840237,0.907407407407407,0.900621118012422,0.886075949367089,0.866666666666667,0.925925925925926,0.880952380952381,0.906542056074766,0.837837837837838,0.924242424242424
MO_106,1,0.97979797979798,0.964285714285714,0.927272727272727,1,0.981308411214953,0.941176470588235,1,1,1,0.925925925925926,0.936170212765957,0.984615384615385,0.986301369863014,0.975308641975309,0.970149253731343,0.863247863247863,0,0.962732919254658,0.978723404255319,0.964912280701754,0.987577639751553,0.981132075471698,0.941747572815534,0.968,0.94392523364486,0.911504424778761,0.961538461538462,0.913978494623656,0.948051948051948
MO_133,0.766666666666667,0.686868686868687,0.92258064516129,0.883116883116883,0.972972972972973,1,1,0.942446043165468,0.902439024390244,0.54066985645933,0.733333333333333,0.790940766550523,0.59825327510917,0.648979591836735,0.811111111111111,0.843373493975904,0.898148148148148,0.962732919254658,0,0.867595818815331,0.408450704225352,0.353846153846154,0.736585365853659,0.97029702970297,0.758928571428571,0.932038834951456,0.962264150943396,0.960264900662252,0.96875,0.852272727272727
MO_135,0.942028985507246,0.928888888888889,0.978021978021978,0.955801104972376,0.988571428571429,0.948497854077253,0.975,0.975903614457831,1,0.974576271186441,0.884057971014493,0.904458598726115,0.9296875,0.963235294117647,0.961352657004831,0.989637305699482,0.909465020576132,0.978723404255319,0.867595818815331,0,0.841666666666667,0.860627177700348,0.991379310344828,0.895196506550218,0.896414342629482,0.974248927038627,0.907949790794979,0.932584269662921,0.954337899543379,0.970443349753695
MO_138,0.774436090225564,0.721854304635762,0.851851851851852,0.869158878504673,0.96039603960396,0.987421383647799,1,0.956521739130435,0.88034188034188,0.617283950617284,0.593984962406015,0.841666666666667,0.593406593406593,0.666666666666667,0.774436090225564,0.865546218487395,0.928994082840237,0.964912280701754,0.408450704225352,0.841666666666667,0,0.427230046948357,0.746835443037975,0.961290322580645,0.740112994350282,0.924528301886792,1,0.961538461538462,0.958620689655172,0.844961240310077
MO_140,0.766666666666667,0.727272727272727,0.806451612903226,0.961038961038961,0.972972972972973,0.961165048543689,1,0.956834532374101,0.914634146341463,0.569377990430622,0.755555555555556,0.839721254355401,0.59825327510917,0.66530612244898,0.788888888888889,0.843373493975904,0.907407407407407,0.987577639751553,0.353846153846154,0.860627177700348,0.427230046948357,0,0.746341463414634,0.98019801980198,0.767857142857143,0.912621359223301,0.981132075471698,0.960264900662252,0.96875,0.886363636363636
MO_197,0.68,0.636363636363636,0.8,0.838383838383838,0.806451612903226,0.801324503311258,1,0.976190476190476,0.834862385321101,0.61038961038961,0.744,0.870689655172414,0.67816091954023,0.747368421052632,0.776,0.765765765765766,0.900621118012422,0.981132075471698,0.736585365853659,0.991379310344828,0.746835443037975,0.746341463414634,0,0.972789115646258,0.692307692307692,0.774834437086093,0.910828025477707,0.916666666666667,0.941605839416058,0.818181818181818
MO_199,0.967213114754098,0.971428571428571,0.979381443298969,0.979166666666667,0.977777777777778,1,1,1,0.943396226415094,0.973509933774834,0.934426229508197,0.938864628820961,0.953216374269006,0.957219251336898,0.967213114754098,0.981481481481482,0.886075949367089,0.941747572815534,0.97029702970297,0.895196506550218,0.961290322580645,0.98019801980198,0.972789115646258,0,0.807228915662651,0.810810810810811,0.896103896103896,0.806451612903226,0.850746268656716,0.88135593220339
MO_202,0.763888888888889,0.765432098765432,0.848739495798319,0.864406779661017,0.892857142857143,0.964705882352941,0.979381443298969,0.961165048543689,0.90625,0.699421965317919,0.763888888888889,0.864541832669323,0.730569948186529,0.712918660287081,0.833333333333333,0.923076923076923,0.866666666666667,0.968,0.758928571428571,0.896414342629482,0.740112994350282,0.767857142857143,0.692307692307692,0.807228915662651,0,0.894117647058824,0.875,0.756521739130435,0.884615384615385,0.828571428571429
MO_207,0.920634920634921,0.902777777777778,0.98019801980198,0.96,0.957446808510638,0.855263157894737,1,1,0.909090909090909,0.896774193548387,0.936507936507937,0.965665236051502,0.897142857142857,0.93717277486911,0.888888888888889,0.857142857142857,0.925925925925926,0.94392523364486,0.932038834951456,0.974248927038627,0.924528301886792,0.912621359223301,0.774834437086093,0.810810810810811,0.894117647058824,0,0.860759493670886,0.958762886597938,0.91304347826087,0.672131147540984
