binID	sampleID	magcov	mappedreads	totalreads
MO_004.bin.3	MO_004	66.227	1943350	200004964
MO_004.bin.3	MO_005	55.978	1642443	168561172
MO_004.bin.3	MO_007	50.778	1492417	222160814
MO_004.bin.3	MO_010			
MO_004.bin.3	MO_010	62.489	1835478	235718514
MO_004.bin.3	MO_034			
MO_004.bin.3	MO_034			
MO_004.bin.3	MO_034	34.822	1024268	204265724
MO_004.bin.3	MO_035	10.851	320866	189714592
MO_004.bin.3	MO_039	17.033	500941	170854532
MO_004.bin.3	MO_042			
MO_004.bin.3	MO_042	26.015	769258	188245052
MO_004.bin.3	MO_046	60.404	1773823	242467494
MO_004.bin.3	MO_071	55.970	1642635	177871088
MO_004.bin.3	MO_073	42.079	1234686	171666644
MO_004.bin.3	MO_074	52.537	1553303	198239308
MO_004.bin.3	MO_077	73.436	2154123	212101902
MO_004.bin.3	MO_082			
MO_004.bin.3	MO_082	117.634	3450046	194683030
MO_004.bin.3	MO_098	46.605	1367585	191192506
MO_004.bin.3	MO_102	35.508	1041964	166599040
MO_004.bin.3	MO_103	40.350	1192605	199112586
MO_004.bin.3	MO_106	17.350	513235	225741060
MO_004.bin.3	MO_133	86.881	2548900	193452788
MO_004.bin.3	MO_135	32.244	948367	272717042
MO_004.bin.3	MO_138	62.342	1829513	174683304
MO_004.bin.3	MO_140			
MO_004.bin.3	MO_140	78.629	2306334	168288246
MO_004.bin.3	MO_167	15.044	460437	211943942
MO_004.bin.3	MO_170	56.296	1679267	264708624
MO_004.bin.3	MO_180	42.265	1241747	233589058
MO_004.bin.3	MO_184	21.016	644096	264456404
MO_004.bin.3	MO_188	36.867	1108961	207873516
MO_004.bin.3	MO_192	28.502	868552	264624116
MO_004.bin.3	MO_197	51.897	1523480	181190328
MO_004.bin.3	MO_199	30.843	910777	161825630
MO_004.bin.3	MO_202	75.754	2228187	220390378
MO_004.bin.3	MO_207			
MO_004.bin.3	MO_207			
MO_004.bin.3	MO_207	32.324	950169	185980280
MO_004.bin.3	MO_226	25.524	750800	192536472
MO_004.bin.3	MO_231	32.852	966404	204285722
MO_004.bin.3	MO_234	19.653	578619	200480924
MO_004.bin.3	MO_236			
MO_004.bin.3	MO_236			
MO_004.bin.3	MO_236	40.013	1174430	203199906
MO_004.bin.7	MO_004	50.490	1293362	200004964
MO_004.bin.7	MO_005	47.044	1204984	168561172
MO_004.bin.7	MO_007			
MO_004.bin.7	MO_007			
MO_004.bin.7	MO_007	48.018	1232056	222160814
MO_004.bin.7	MO_010	53.781	1379037	235718514
MO_004.bin.7	MO_034			
