contigName	contigLen	totalAvgDepth	MO_046.MO_004.sorted.bam	MO_046.MO_004.sorted.bam-var	MO_046.MO_005.sorted.bam	MO_046.MO_005.sorted.bam-var	MO_046.MO_007.sorted.bam	MO_046.MO_007.sorted.bam-var	MO_046.MO_010.sorted.bam	MO_046.MO_010.sorted.bam-var	MO_046.MO_034.sorted.bam	MO_046.MO_034.sorted.bam-var	MO_046.MO_035.sorted.bam	MO_046.MO_035.sorted.bam-var	MO_046.MO_039.sorted.bam	MO_046.MO_039.sorted.bam-var	MO_046.MO_042.sorted.bam	MO_046.MO_042.sorted.bam-var	MO_046.MO_046.sorted.bam	MO_046.MO_046.sorted.bam-var	MO_046.MO_071.sorted.bam	MO_046.MO_071.sorted.bam-var	MO_046.MO_073.sorted.bam	MO_046.MO_073.sorted.bam-var	MO_046.MO_074.sorted.bam	MO_046.MO_074.sorted.bam-var	MO_046.MO_077.sorted.bam	MO_046.MO_077.sorted.bam-var	MO_046.MO_082.sorted.bam	MO_046.MO_082.sorted.bam-var	MO_046.MO_098.sorted.bam	MO_046.MO_098.sorted.bam-var	MO_046.MO_102.sorted.bam	MO_046.MO_102.sorted.bam-var	MO_046.MO_103.sorted.bam	MO_046.MO_103.sorted.bam-var	MO_046.MO_106.sorted.bam	MO_046.MO_106.sorted.bam-var	MO_046.MO_133.sorted.bam	MO_046.MO_133.sorted.bam-var	MO_046.MO_135.sorted.bam	MO_046.MO_135.sorted.bam-var	MO_046.MO_138.sorted.bam	MO_046.MO_138.sorted.bam-var	MO_046.MO_140.sorted.bam	MO_046.MO_140.sorted.bam-var	MO_046.MO_167.sorted.bam	MO_046.MO_167.sorted.bam-var	MO_046.MO_170.sorted.bam	MO_046.MO_170.sorted.bam-var	MO_046.MO_180.sorted.bam	MO_046.MO_180.sorted.bam-var	MO_046.MO_184.sorted.bam	MO_046.MO_184.sorted.bam-var	MO_046.MO_188.sorted.bam	MO_046.MO_188.sorted.bam-var	MO_046.MO_192.sorted.bam	MO_046.MO_192.sorted.bam-var	MO_046.MO_197.sorted.bam	MO_046.MO_197.sorted.bam-var	MO_046.MO_199.sorted.bam	MO_046.MO_199.sorted.bam-var	MO_046.MO_202.sorted.bam	MO_046.MO_202.sorted.bam-var	MO_046.MO_207.sorted.bam	MO_046.MO_207.sorted.bam-var	MO_046.MO_226.sorted.bam	MO_046.MO_226.sorted.bam-var	MO_046.MO_231.sorted.bam	MO_046.MO_231.sorted.bam-var	MO_046.MO_234.sorted.bam	MO_046.MO_234.sorted.bam-var	MO_046.MO_236.sorted.bam	MO_046.MO_236.sorted.bam-var
MO_046.c_0	252417	408.57	30.5561	94.4595	23.3489	59.7311	19.0669	59.5666	19.5011	70.8122	16.3198	35.1326	9.07441	17.4319	3.89751	8.43558	5.73903	10.1471	20.7047	50.491	15.5654	32.0125	15.1821	32.0255	3.39348	6.49862	20.2348	46.3162	19.9269	48.6549	13.697	30.4948	16.6513	38.4192	6.64222	12.4278	4.40941	9.86856	13.8688	28.1045	4.48654	17.8342	14.4648	28.4984	17.6314	37.4343	1.01226	1.71873	5.52069	12.6899	5.30692	16.7394	0.721577	1.2037	2.05015	3.34511	0.649518	1.06659	16.2871	37.2877	6.57248	11.2006	12.2839	28.7367	12.3688	26.8081	5.78798	9.78988	9.98247	32.3064	2.19321	4.53377	13.47	27.5082
MO_046.c_1	195983	388.557	29.2739	69.0813	23.0674	55.9637	18.5567	52.1119	18.7878	61.9536	15.2209	31.5743	8.67452	16.5192	3.62172	8.16994	5.49236	10.6423	19.0783	45.7011	14.8814	40.4135	14.2407	35.2365	3.65662	19.173	19.3154	62.6046	18.4988	54.6419	13.0941	29.9466	15.447	34.0164	6.55365	13.4632	4.15599	9.87699	13.1529	33.8769	4.123	24.856	13.844	35.082	16.6893	46.7048	0.966068	1.65274	5.17329	10.459	4.97992	14.0939	0.635776	1.00228	2.11117	3.62129	0.593536	1.04275	14.7033	36.0212	6.55833	17.4837	12.0102	30.2819	11.8638	27.7659	5.28012	9.34384	9.38193	36.3623	2.1609	5.64629	12.7117	34.4826
MO_046.c_5	122317	386.66	29.1465	57.7745	21.9866	42.5585	18.5365	50.7404	19.6343	51.3939	15.0832	28.9625	8.41418	14.6844	3.61728	7.08951	5.58778	9.15954	19.1645	40.6571	14.4739	24.4014	14.0295	23.6182	3.47488	6.25058	19.2805	40.807	18.344	39.8284	12.9587	22.6216	15.9556	29.7111	6.13214	11.0793	4.22604	8.69277	12.6072	23.0532	3.97098	13.6917	13.6577	23.9139	16.3544	31.8753	0.989662	1.42564	5.7824	10.3615	5.74031	16.8225	0.846382	1.43486	2.34926	3.77256	0.639886	1.02871	14.5057	27.5691	6.2381	10.327	11.9946	23.4788	11.5399	22.8503	5.0873	8.32788	9.32043	28.8454	1.96931	4.08055	13.0207	25.8893
MO_046.c_6	107205	379.109	29.0121	78.1096	21.5037	50.9364	17.1573	51.2604	18.3522	58.7592	15.1282	33.281	8.50664	16.7291	3.62223	7.57135	5.36215	9.31344	19.0565	41.9435	14.9047	30.7402	13.8001	31.0236	3.68207	7.33191	18.7538	48.6928	17.7663	42.9027	12.5671	29.9593	15.6858	38.9768	6.08569	12.4004	4.34449	9.18071	12.819	26.1324	3.77243	13.8369	13.5297	27.107	16.4396	36.2729	0.947307	1.49039	5.45662	11.5291	5.17904	15.4821	0.728915	1.20708	2.33569	3.95569	0.676736	1.16282	15.0095	34.7395	6.15294	10.2305	11.2478	22.4693	10.9568	22.566	5.34124	9.31211	9.04097	27.1476	1.91347	3.72285	12.2707	24.8177
MO_046.c_7	101390	387.179	29.124	73.3865	22.4826	45.6834	18.5626	51.5882	17.9689	60.8324	15.6093	31.6616	8.92892	15.8707	3.84498	7.60019	5.47333	9.45144	19.1808	42.1239	14.736	28.6237	14.5876	27.0762	3.10758	5.85258	19.1192	42.0659	18.146	40.9942	13.147	26.387	15.1452	35.0215	6.59184	12.733	4.06896	8.92945	12.7812	24.7443	4.01496	14.7504	13.5189	28.2609	16.7631	32.642	0.888295	1.45791	5.42283	11.6969	5.6209	16.0074	0.786438	1.11121	2.31608	3.4366	0.640606	1.06756	15.2318	31.7599	6.35475	11.9156	11.8018	25.3007	11.9924	22.5307	5.21975	8.5908	9.24401	27.2327	2.08921	4.36381	12.6678	25.5731
MO_046.c_8	100555	381.638	28.1796	62.2341	21.9624	42.916	17.9552	49.9456	18.8682	55.2675	15.3786	30.2633	8.46283	16.6727	3.69335	7.33937	5.32347	9.25955	19.0327	37.2686	15.035	31.4072	14.0369	27.4847	3.42044	6.36427	18.6581	39.3976	17.6917	35.9716	12.8048	24.64	15.7712	35.5941	6.25584	10.4156	3.89958	8.30449	12.517	20.0112	4.19676	14.332	13.1784	24.3037	16.3193	29.9309	0.958568	1.40886	5.92187	12.2612	5.86766	18.1305	0.768677	1.26439	2.37187	3.75075	0.533579	0.871626	14.4413	30.3401	6.34771	12.0868	12.0359	23.9232	11.4612	19.3185	5.05873	8.53223	9.12145	27.7926	1.68764	3.11239	12.4201	23.1161
MO_046.c_14	88928	363.435	27.6169	60.0231	20.5536	38.5215	17.6169	44.6807	17.8402	52.2333	14.5928	29.6632	8.27764	14.9126	3.52025	7.35774	5.12292	9.73904	18.7441	38.7289	13.7411	25.2195	13.4402	27.73	2.84193	4.67264	17.9311	37.7523	16.6727	38.1503	12.482	26.3478	14.7055	31.9818	5.75529	10.6047	3.76546	7.7174	12.1875	23.3554	3.86906	12.5742	12.6056	22.602	15.5334	31.0445	0.894715	1.17329	5.32879	10.2333	5.09774	13.7734	0.658688	1.08384	2.05784	3.0522	0.51934	0.841103	13.8345	26.9137	5.8776	10.0265	11.3888	24.9481	10.819	19.2393	5.07799	9.05268	8.33728	25.7315	2.07644	4.57673	12.05	24.2644
MO_046.c_15	87911	387.433	29.4665	79.6205	21.9908	42.4426	18.635	55.0135	18.975	65.2494	14.7606	30.0394	8.59758	16.4124	3.63828	8.18721	5.53712	9.36176	19.5038	44.1351	14.7607	28.3621	14.1739	25.773	3.37887	6.21251	19.7251	44.1182	18.2043	43.6549	13.3616	30.5054	15.4038	37.3002	6.48923	13.113	3.96577	8.0741	12.6833	22.8481	3.99945	13.4138	14.1024	29.7091	16.5545	34.4171	0.94019	1.67551	5.21233	9.83758	4.95119	13.8738	0.786044	1.26839	2.16601	4.09751	0.601725	1.08149	15.2345	38.3834	5.96271	10.0078	12.0979	28.3465	11.9239	22.1548	5.82738	9.67011	9.20788	30.2061	2.14465	3.98729	12.4693	25.5594
MO_046.c_16	86758	439.342	34.3334	81.3337	25.1812	52.1627	20.1063	50.5927	19.8497	63.4402	17.7388	33.8422	10.1421	18.7105	4.02944	7.91382	5.79919	9.59865	21.6359	49.2536	17.2017	38.933	16.5164	37.0154	3.70191	5.98683	21.7542	48.9113	21.0458	47.2304	14.6295	34.5382	18.9675	38.5283	7.38117	13.8979	4.5125	9.8628	15.512	30.6254	4.30248	12.9622	15.4724	32.6925	19.5883	37.8081	0.972139	1.50578	6.00913	11.5456	5.35507	15.3629	0.735267	1.17135	2.40121	3.78672	0.67921	1.04668	17.2166	39.4465	6.75118	10.8378	13.0728	27.0745	13.587	28.4065	6.10255	10.7884	10.1907	29.8032	2.29793	5.10263	14.5695	31.2969
MO_046.c_17	81558	363.174	27.4979	57.3715	20.3352	33.8657	17.0663	40.3537	18.1551	54.4125	14.2962	27.0819	8.14066	14.6256	3.28812	5.934	4.5623	7.12905	18.1374	37.5533	13.2801	26.1264	13.3353	24.5222	3.03507	4.79605	18.2329	40.12	17.4931	33.1905	12.3048	24.5198	14.7569	32.2695	5.90399	9.36498	3.88797	9.85642	12.4908	21.5156	3.66024	12.7629	13.19	22.3493	16.0395	31.9523	0.959242	1.43646	4.82641	8.48343	4.75157	11.1621	0.553545	1.06926	2.03556	3.12622	0.522528	0.825282	14.5255	26.5551	5.906	9.51393	11.0787	22.0845	11.1762	19.9195	5.12258	8.91117	8.73678	26.1195	1.73363	3.601	12.1553	23.86
