sampleID	site	sampletype	reef	ecology	sitecolor
MO_004	site1	quadrat	backreef	coral	#597343
MO_005	site1	quadrat	backreef	coral	#597343
MO_007	site1	quadrat	backreef	coral	#597343
MO_010	site1	quadrat	backreef	coral	#597343
MO_034	site2	quadrat	backreef	coral	#8435BB
MO_035	site2	quadrat	backreef	coral	#8435BB
MO_039	site2	quadrat	backreef	coral	#8435BB
MO_042	site2	quadrat	backreef	coral	#8435BB
MO_046	site2	quadrat	backreef	coral	#8435BB
MO_071	site3	quadrat	backreef	coral	#36CDFF
MO_073	site3	quadrat	backreef	coral	#36CDFF
MO_074	site3	quadrat	backreef	coral	#36CDFF
MO_077	site3	quadrat	backreef	coral	#36CDFF
MO_082	site3	transect	backreef	coral	#36CDFF
MO_098	site4	quadrat	backreef	coral	#DC61E5
MO_102	site4	quadrat	backreef	coral	#DC61E5
MO_103	site4	quadrat	backreef	coral	#DC61E5
MO_106	site4	quadrat	backreef	coral	#DC61E5
MO_133	site5	quadrat	fringereef	coral	#DAC75D
MO_135	site5	quadrat	fringereef	coral	#DAC75D
MO_138	site5	quadrat	fringereef	coral	#DAC75D
MO_140	site5	quadrat	fringereef	coral	#DAC75D
MO_167	site6	quadrat	fringereef	algal	#01B17E
MO_170	site6	quadrat	fringereef	algal	#01B17E
MO_180	site6	transect	fringereef	algal	#01B17E
MO_184	site6	transect	fringereef	algal	#01B17E
MO_188	site6	transect	fringereef	algal	#01B17E
MO_192	site6	transect	fringereef	algal	#01B17E
MO_197	site7	quadrat	fringereef	coral	#E15314
MO_199	site7	quadrat	fringereef	coral	#E15314
MO_202	site7	quadrat	fringereef	coral	#E15314
MO_207	site7	quadrat	fringereef	coral	#E15314
MO_226	site8	quadrat	fringereef	coral	#FF7983
MO_231	site8	quadrat	fringereef	coral	#FF7983
MO_234	site8	quadrat	fringereef	coral	#FF7983
MO_236	site8	quadrat	fringereef	coral	#FF7983
