sampleID	MO_004	MO_005	MO_007	MO_010	MO_034	MO_035	MO_039	MO_042	MO_046	MO_071	MO_073	MO_074	MO_077	MO_082	MO_098	MO_102	MO_103	MO_106	MO_133	MO_135	MO_138	MO_140	MO_167	MO_170	MO_180	MO_184	MO_188	MO_192	MO_197	MO_199	MO_202	MO_207	MO_226	MO_231	MO_234	MO_236
MO_004	0	0.79057	0.35355	0.70711	1220	1220	1220	1220	1220	2070	2070	2070	2070	2070	1502	1502	1502	1502	2582	2582	2582	2582	388	388	388	388	388	388	1089	1089	1089	1089	2141	2141	2141	2141
MO_005	0.79057	0	0.5	0.35355	1220	1220	1220	1220	1220	2070	2070	2070	2070	2070	1502	1502	1502	1502	2582	2582	2582	2582	388	388	388	388	388	388	1089	1089	1089	1089	2141	2141	2141	2141
MO_007	0.35355	0.5	0	0.35355	1220	1220	1220	1220	1220	2070	2070	2070	2070	2070	1502	1502	1502	1502	2582	2582	2582	2582	388	388	388	388	388	388	1089	1089	1089	1089	2141	2141	2141	2141
MO_010	0.70711	0.35355	0.35355	0	1220	1220	1220	1220	1220	2070	2070	2070	2070	2070	1502	1502	1502	1502	2582	2582	2582	2582	388	388	388	388	388	388	1089	1089	1089	1089	2141	2141	2141	2141
MO_034	1220	1220	1220	1220	0	0.25	0.35355	0.5	0.75	850	850	850	850	850	2722	2722	2722	2722	1365	1365	1365	1365	1225	1225	1225	1225	1225	1225	443	443	443	443	934	934	934	934
MO_035	1220	1220	1220	1220	0.25	0	0.25	0.55902	0.79057	850	850	850	850	850	2722	2722	2722	2722	1365	1365	1365	1365	1225	1225	1225	1225	1225	1225	443	443	443	443	934	934	934	934
MO_039	1220	1220	1220	1220	0.35355	0.25	0	0.35355	0.55902	850	850	850	850	850	2722	2722	2722	2722	1365	1365	1365	1365	1225	1225	1225	1225	1225	1225	443	443	443	443	934	934	934	934
MO_042	1220	1220	1220	1220	0.5	0.55902	0.35355	0	0.25	850	850	850	850	850	2722	2722	2722	2722	1365	1365	1365	1365	1225	1225	1225	1225	1225	1225	443	443	443	443	934	934	934	934
MO_046	1220	1220	1220	1220	0.75	0.79057	0.55902	0.25	0	850	850	850	850	850	2722	2722	2722	2722	1365	1365	1365	1365	1225	1225	1225	1225	1225	1225	443	443	443	443	934	934	934	934
MO_071	2070	2070	2070	2070	850	850	850	850	850	0	0.55902	0.35355	0.70711	2	3571	3571	3571	3571	520	520	520	520	2046	2046	2046	2046	2046	2046	1119	1119	1119	1119	195	195	195	195
MO_073	2070	2070	2070	2070	850	850	850	850	850	0.55902	0	0.25	0.25	2	3571	3571	3571	3571	520	520	520	520	2046	2046	2046	2046	2046	2046	1119	1119	1119	1119	195	195	195	195
MO_074	2070	2070	2070	2070	850	850	850	850	850	0.35355	0.25	0	0.35355	2	3571	3571	3571	3571	520	520	520	520	2046	2046	2046	2046	2046	2046	1119	1119	1119	1119	195	195	195	195
MO_077	2070	2070	2070	2070	850	850	850	850	850	0.70711	0.25	0.35355	0	2	3571	3571	3571	3571	520	520	520	520	2046	2046	2046	2046	2046	2046	1119	1119	1119	1119	195	195	195	195
MO_082	2070	2070	2070	2070	850	850	850	850	850	2	2	2	2	0	3571	3571	3571	3571	520	520	520	520	2046	2046	2046	2046	2046	2046	1119	1119	1119	1119	195	195	195	195
MO_098	1502	1502	1502	1502	2722	2722	2722	2722	2722	3571	3571	3571	3571	3571	0	0.25	0.35355	0.5	4081	4081	4081	4081	1591	1591	1591	1591	1591	1591	2538	2538	2538	2538	3635	3635	3635	3635
MO_102	1502	1502	1502	1502	2722	2722	2722	2722	2722	3571	3571	3571	3571	3571	0.25	0	0.25	0.25	4081	4081	4081	4081	1591	1591	1591	1591	1591	1591	2538	2538	2538	2538	3635	3635	3635	3635
MO_103	1502	1502	1502	1502	2722	2722	2722	2722	2722	3571	3571	3571	3571	3571	0.35355	0.25	0	0.35355	4081	4081	4081	4081	1591	1591	1591	1591	1591	1591	2538	2538	2538	2538	3635	3635	3635	3635
MO_106	1502	1502	1502	1502	2722	2722	2722	2722	2722	3571	3571	3571	3571	3571	0.5	0.25	0.35355	0	4081	4081	4081	4081	1591	1591	1591	1591	1591	1591	2538	2538	2538	2538	3635	3635	3635	3635
MO_133	2582	2582	2582	2582	1365	1365	1365	1365	1365	520	520	520	520	520	4081	4081	4081	4081	0	0.5	0.35355	0.79057	2538	2538	2538	2538	2538	2538	1589	1589	1589	1589	457	457	457	457
MO_135	2582	2582	2582	2582	1365	1365	1365	1365	1365	520	520	520	520	520	4081	4081	4081	4081	0.5	0	0.35355	0.35355	2538	2538	2538	2538	2538	2538	1589	1589	1589	1589	457	457	457	457
MO_138	2582	2582	2582	2582	1365	1365	1365	1365	1365	520	520	520	520	520	4081	4081	4081	4081	0.35355	0.35355	0	0.5	2538	2538	2538	2538	2538	2538	1589	1589	1589	1589	457	457	457	457
MO_140	2582	2582	2582	2582	1365	1365	1365	1365	1365	520	520	520	520	520	4081	4081	4081	4081	0.79057	0.35355	0.5	0	2538	2538	2538	2538	2538	2538	1589	1589	1589	1589	457	457	457	457
MO_167	388	388	388	388	1225	1225	1225	1225	1225	2046	2046	2046	2046	2046	1591	1591	1591	1591	2538	2538	2538	2538	0	0.35355	4	4	4	4	959	959	959	959	2083	2083	2083	2083
MO_170	388	388	388	388	1225	1225	1225	1225	1225	2046	2046	2046	2046	2046	1591	1591	1591	1591	2538	2538	2538	2538	0.35355	0	4	4	4	4	959	959	959	959	2083	2083	2083	2083
MO_180	388	388	388	388	1225	1225	1225	1225	1225	2046	2046	2046	2046	2046	1591	1591	1591	1591	2538	2538	2538	2538	4	4	0	6.36396	9	6.36396	959	959	959	959	2083	2083	2083	2083
MO_184	388	388	388	388	1225	1225	1225	1225	1225	2046	2046	2046	2046	2046	1591	1591	1591	1591	2538	2538	2538	2538	4	4	6.36396	0	6.36396	9	959	959	959	959	2083	2083	2083	2083
MO_188	388	388	388	388	1225	1225	1225	1225	1225	2046	2046	2046	2046	2046	1591	1591	1591	1591	2538	2538	2538	2538	4	4	9	6.36396	0	6.36396	959	959	959	959	2083	2083	2083	2083
MO_192	388	388	388	388	1225	1225	1225	1225	1225	2046	2046	2046	2046	2046	1591	1591	1591	1591	2538	2538	2538	2538	4	4	6.36396	9	6.36396	0	959	959	959	959	2083	2083	2083	2083
MO_197	1089	1089	1089	1089	443	443	443	443	443	1119	1119	1119	1119	1119	2538	2538	2538	2538	1589	1589	1589	1589	959	959	959	959	959	959	0	0.55902	0.90139	0.90139	1132	1132	1132	1132
