	MO_004	MO_005	MO_007	MO_010	MO_034	MO_035	MO_039	MO_042	MO_046	MO_071	MO_073	MO_074	MO_077	MO_082	MO_098	MO_102	MO_103	MO_106	MO_133	MO_135	MO_138	MO_140	MO_167	MO_170	MO_180	MO_184	MO_188	MO_192	MO_197	MO_199	MO_202	MO_207	MO_226	MO_231	MO_234	MO_236
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3021855102392e-05	1.30963762326964e-05	0	0	2.08698555805994e-05	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	1.46987491364485e-05	0	0	0	0	0	0	0	0	0	0	9.97496284326341e-06	0	0	0	0	0	0	0	0	0	0	0	0
5	1.57883103350279e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97168658070113e-05	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27516864105278e-05	9.97496284326341e-06	0	0	0	1.49575206413785e-05	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79765585676278e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	1.47627624081018e-05	0	0	0	0	0	0	0	0	0	0	0	1.77166749344483e-05	0	0	0	0	0	0	0	0	0	0	0	1.89350905097326e-05	0	0	1.58937029149051e-05
21	0	1.86299532388174e-05	0	0	0	0	0	0	0	0	0	0	1.46987491364485e-05	0	0	0	0	6.30695973006212e-05	0	0	0	0	1.27516864105278e-05	9.97496284326341e-06	0	0	1.30963762326964e-05	1.49575206413785e-05	1.79375414805647e-05	0	2.72264423207819e-05	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41304808602637e-05	0	0	0	0	0	0	0	0	0	1.30963762326964e-05	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	1.74929153692754e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76956698695829e-05	0
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73232165748536e-05	3.85646246697904e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63489520321747e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	0	0	0	0	1.95000195000195e-05	0	0	0	0	0	0	1.46987491364485e-05	0	0	0	0	0	0	0	0	0	0	0	2.3295361893447e-05	0	0	0	0	0	4.08396634811729e-05	0	0	0	0	0
47	0	0	0	0	0	0	0	0	0	0	0	0	1.46987491364485e-05	0	0	3.85646246697904e-05	0	0	0	0	0	0	0	0	0	0	0	1.49575206413785e-05	0	0	0	0	0	0	1.76956698695829e-05	0
48	0	0	0	1.62435228952455e-05	0	0	0	0	0	0	0	0	0	0	3.46464331497072e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41304808602637e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	0	0	0	0	0	0	0	0	0	0	0	1.44214822399446e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	0	1.86299532388174e-05	0	0	0	0	0	2.66887293495957e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30963762326964e-05	0	0	0	0	0	0	0	0	0
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92823123348952e-05	0	0	0	0	0	1.79765585676278e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	0	0	0	0	0	0	0	0	0	0	0	0	4.40962474093455e-05	0	0	0	0	0	0	0	0	0	0	9.97496284326341e-06	0	0	0	0	5.3812624441694e-05	0	1.3613221160391e-05	1.68355836896865e-05	0	0	0	0
