	MO_004	MO_005	MO_007	MO_010	MO_034	MO_035	MO_039	MO_042	MO_046	MO_071	MO_073	MO_074	MO_077	MO_082	MO_098	MO_102	MO_103	MO_106	MO_133	MO_135	MO_138	MO_140	MO_167	MO_170	MO_180	MO_184	MO_188	MO_192	MO_197	MO_199	MO_202	MO_207	MO_226	MO_231	MO_234	MO_236
31	9.47298620101677e-05	0.000167669579149356	8.25832025765959e-05	0.000113704660266719	0.000167835297627928	1.95000195000195e-05	7.1571714858288e-05	0.000106754917398383	7.3813812040509e-05	0.000122450407584928	9.40627586725864e-05	0.000100950375679612	4.40962474093455e-05	3.26979040643495e-05	6.92928662994145e-05	9.6411561674476e-05	0.000127174327742373	6.30695973006212e-05	1.58390749980201e-05	1.41635034842219e-05	7.08666997377932e-05	0.00016178902710865	0.000204026982568445	0.000129674516962424	8.15337666270646e-05	0.000129065565307176	6.54818811634821e-05	2.9915041282757e-05	5.3812624441694e-05	0.000166958844644795	4.08396634811729e-05	5.05067510690596e-05	0.000113610543058396	7.88674632280453e-05	5.30870096087487e-05	0.000158937029149051
49	0.00734156430578799	0.00625966428824264	0.00584276158229416	0.00747202053181294	0.00555721318812472	0.00489450489450489	0.00665616948182078	0.00768635405268355	0.0057427145767516	0.00570269041038379	0.00588832869290391	0.00633103070333569	0.00692311084326724	0.00807638230389432	0.00841908325537886	0.00921694529607991	0.00628806398281734	0.00637002932736274	0.00557535439930308	0.00288935471078126	0.00634256962653249	0.004781764578989	0.0121268537764119	0.00846874345393063	0.00739627740116943	0.00782997762863535	0.00574930916615373	0.00623728610745483	0.00581176343970295	0.00511311461724685	0.00624846851261946	0.00515168860904408	0.0053965007952738	0.00559958988919121	0.00438852612765656	0.00562637083187641
126	0.0351132021851022	0.0272183616819122	0.022586505904699	0.024414014911554	0.0386021184544234	0.0994500994500994	0.0314915545376467	0.0238330353091889	0.0320056689007647	0.027691285029563	0.025641508014147	0.0393706465150488	0.0270163009127923	0.0312755452375503	0.0379378442989294	0.0324714139719635	0.0281620483545055	0.0309356374759547	0.0312188168210976	0.0244886975242196	0.031021897810219	0.0283490328611491	0.0184261868632127	0.0307328605200946	0.0309245929135509	0.0262433316124591	0.0173265057558574	0.0228251764987436	0.0472295467183268	0.0267134151431672	0.0271719894361404	0.0367015724435166	0.0499886389456942	0.020821010292204	0.0250039815257207	0.0346164849486633
137	0.00617322934099593	0.00732157162285523	0.0050169295565282	0.00436950765882105	0.00553856482172162	0.00427050427050427	0.00436587460635557	0.00461715017748005	0.00597891877528123	0.00570269041038379	0.00618932952065618	0.00331694091518726	0.00670262960622051	0.00724258575025341	0.00614974188407303	0.00671024469254353	0.00463479772216648	0.00454101100564473	0.00494179139938228	0.00354087587105546	0.0056870526539579	0.00505141295750342	0.00309865979775825	0.0053964548982055	0.00625480466839052	0.00499053519187747	0.00419084039446285	0.00251286346775159	0.00521982457084432	0.0066574839302112	0.00585368509896812	0.00633017946732213	0.00393849882602439	0.00554043929177018	0.00444161313726531	0.00650052449219619
170	0.00206826865388866	0.00231011420161335	0.00138326864315798	0.00165683933531504	0.0017902431746979	0.00120900120900121	0.00229029487546522	0.00189489978382129	0.00183058253860462	0.00164433404471189	0.00201294303559335	0.00220648678271153	0.00216071612305793	0.00197822319589314	0.00242525032047951	0.002024642795164	0.00193587587785612	0.00230204030147267	0.00155222934980597	0.00138802334145374	0.00182481751824818	0.00170777306392464	0.00153020236926334	0.00202491745718247	0.00181703822768887	0.00146274307348133	0.00103461372238302	0.00166028479119301	0.00150675348436743	0.00179480757993155	0.00189223774129435	0.00144786019731304	0.00155267742179808	0.00185338538585906	0.00169878430747996	0.00190724434978861
403	0.00528908396223436	0.0052536468133465	0.00670988520934842	0.00480808277699267	0.00490452036401611	0.0023010023010023	0.00679931291153736	0.00728602311243962	0.00485694883226549	0.00561522583353742	0.00605764165851456	0.00601375809405691	0.0058501021563065	0.00604911225190465	0.00614974188407303	0.00651742156919458	0.00597719340389153	0.00517170697865094	0.0060663657242417	0.00497138972296187	0.00559846927928566	0.00657942043575178	0.00258859234133714	0.00663335029077017	0.00575395438768141	0.00387196695921528	0.00350982883036264	0.00344022974751705	0.00559651294193618	0.00596877869605142	0.0052819298102317	0.00510118185797502	0.00412784973112171	0.00376592136913916	0.00479552653465697	0.00476811087447153
433	0.00219457513656888	0.0025709335469568	0.00134197704186968	0.00188424865584848	0.0011934954497986	0.000604500604500605	0.00132407672487833	0.00141450265552857	0.00193392187546134	0.00202917818283595	0.00174956731131011	0.00171615638655341	0.0023958961092411	0.00261583232514796	0.00247721997020407	0.00167756117313588	0.00137065664344558	0.00126139194601242	0.00270848182466144	0.00141635034842219	0.00240946779108497	0.00258862443373841	0.000535570829242167	0.000917696581580234	0.00046590723786894	0.00111856823266219	0.000536951425540553	0.00109189900682063	0.00200900464582324	0.000855664078804575	0.00141577500068066	0.00138051786255429	0.00123078088313262	0.00114357821680666	0.000601652775565819	0.00143043326234146
444	0.0024313997915943	0.00223559438865808	0.0020645800644149	0.00201419683901044	0.00169700134268238	0.00105300105300105	0.00239765244775265	0.00208172088926846	0.00215536331158286	0.00230906482874436	0.00205056813906238	0.0028121890367892	0.00255758234974204	0.00266487918124448	0.00252918961992863	0.00273808835155512	0.00241631222710509	0.00220743590552174	0.00231250494971094	0.00212452552263328	0.00228545106654383	0.00222909326238585	0.00161946417413703	0.00250371567365912	0.00210823025135695	0.00176389605919807	0.00138821588066582	0.00158549718798612	0.00202694218730381	0.00265047165873612	0.00170165264504887	0.00195292770800364	0.00259410739983337	0.00165621672778895	0.00198191502539329	0.00233637432849105
468	0.00108939341311693	0.000726568176313877	0.00119745643736064	0.00134821240030538	0.000932418320155154	0.000936000936000936	0.00153879186945319	0.00106754917398383	0.000930054031710414	0.00103208200678725	0.000846564828053277	0.00122582599039529	0.00116120118177943	0.00107903083412353	0.00114333229394034	0.00133047955110777	0.00132826520086479	0.000725300368957144	0.00136216044982973	0.00157214888674863	0.00109843384593579	0.00116847630689581	0.000586577574884278	0.00108727094991571	0.000990052880471498	0.000731371536740664	0.000772686197729088	0.000643173387579275	0.000520188702936376	0.000939143501126972	0.00103460480818971	0.00148153136469241	0.00113610543058396	0.0010449938877716	0.00125639256074039	0.000985409580724117
481	0.00069468565474123	0.00070793822307506	0.000536790816747874	0.000341113980800156	0.000578099358496196	0.000663000663000663	0.000679931291153736	0.000827350609837466	0.000634798783548378	0.000507294545708988	0.000865377379787794	0.000519173360638006	0.000764334955095321	0.000768400745512213	0.000883484045317535	0.00104124486608434	0.000861959332476084	0.000409952382454038	0.000538528549932684	0.000453232111495099	0.000531500248033449	0.000862874811246135	0.000790604557452723	0.00049874814216317	0.00069886085680341	0.000731371536740664	0.000471469544377071	0.000358980495393084	0.000556063785897505	0.00066783537857918	0.000313104086688992	0.00082494360079464	0.000605922896311444	0.00029575298710517	0.000707826794783317	0.00074700403700054
