	31	49	126	137	170	403	433	444	468	481	506	543	641	712	772	775	809	815	942	972	1046	1106	1162	1182	1185	1213	1268	1300	1653	1762	2004	2012	2049	2062	2070	2092	2146	28056	28256	31953	31957	31977	31979	31989	31993	32011	32033	33958	34064	39782	41294	41295	41297	44746	45401	45404	49546	53434	64898	68298	69277	69657	72275	72276	72293	72294	74712	75682	75787	76892	80864	81850	81852	82115	83676	83763	83778	84107	84566	84642	84994	84997	85002	85015	85016	85017	85018	85019	85020	85021	85022	85023	85025	85026	85028	85029	85030	85031	85034	89373	89374	90627	90964	92713	117942	118882	118968	119043	119045	119060	119859	128827	134623	135616	135617	135620	135621	143786	145357	145360	171550	171551	171552	183710	186803	186804	186806	186807	186814	186817	186818	186820	186821	186822	186823	186824	186827	186828	188709	188711	188786	189770	189773	189779	191394	191412	194924	200667	203492	203557	204434	206349	206379	213117	213119	213121	213421	213422	213468	213483	216572	219687	224027	224372	224379	224380	224467	225058	227387	255474	255475	255526	263369	267888	267889	267890	267891	267892	267893	267894	292628	316606	320583	320599	335928	335929	361606	415002	453228	539000	541000	543314	543371	558314	558415	563798	563835	563843	568386	574976	597359	622451	649777	717964	742031	909930	995019	1042322	1127830	1129771	1202464	1240483	1400857	1442156	1471398	1499392	1501348	1508635	1570339	1643685	1643824	1643826	1643948	1643950	1655514	1706371	1706372	1706374	1706375	1763524	1775411	1813606	1843490	1843491	1853230	1853231	1853232	1890426	1890429	1890436	1890438	1890449	1890450	1890452	1890500	1890528	1892249	1892252	1892254	1892259	1892263	1903409	1903410	1903411	1903412	1903414	1903416	1920240	1937961	1937968	2005519	2005520	2005525	2008790	2008793	2008794	2008795	2036754	NA
MO_004	6	465	2224	391	131	335	139	154	69	44	38	73	92	24	23	58	28	7	23	8	1286	1	84	6	35	46	42	7	60	8	8	14	107	19	34	9	24	13	277	12	35	67	90	3369	328	38	92	59	10	4	122	3832	187	0	385	15	860	24	17	13	127	446	433	1245	23	10	5	7	12	40	22	7	8	86	16	24	10	17	46	55	988	13	42	22	6	9	3	2	8	20	1	14	2	7	0	1	13	1	11	113	35	11	32	3	21	18	357	175	36	62	2	42	11	770	951	479	142	0	76	0	78	42	30	9	92	14	60	176	37	108	8	0	5	63	44	23	27	12	32	41	27	7	3	155	79	30	271	315	14	238	298	2	58	39	5439	405	58	164	295	18	8	51	8	73	165	0	3	8	73	19	69	38	60	75	19	44	5	54	94	58	237	1	17	6	35	176	4	237	144	99	88	36	87	6	45	34	16	181	105	6	46	1	114	5	33	11	10	3	14	2	4	21	125	1	94	37	58	9	88	9	16	36	12	7	76	177	682	66	211	99	42	43	24	32	54	3	41	235	10	24	175	2	112	230	114	10	242	93	116	20	3	27	1	21	0	20	0	56	124	15	4	10	3	3	2	12	7	9	24923
MO_005	9	336	1461	393	124	282	138	120	39	38	23	50	82	12	27	40	34	4	18	11	1204	1	47	4	25	36	48	9	55	12	17	9	71	12	13	9	37	7	199	13	39	36	99	3802	275	25	56	41	0	1	130	2922	205	1	337	14	695	25	15	18	146	973	340	945	17	13	4	5	6	55	17	4	6	89	20	31	8	9	33	41	535	11	29	8	2	3	4	0	8	14	1	10	6	2	0	0	4	0	11	117	35	9	18	6	17	18	309	128	29	38	3	34	10	638	736	388	105	0	50	1	58	40	14	8	68	36	55	148	25	81	5	6	6	51	47	5	22	13	15	33	4	5	1	103	55	45	201	312	5	179	222	3	45	21	4973	354	62	168	258	33	3	42	3	47	146	1	1	7	76	45	55	14	50	65	19	38	1	28	75	40	214	0	13	0	39	508	4	217	167	85	58	22	66	7	32	42	16	161	85	6	56	1	108	7	21	19	3	5	9	2	9	22	96	5	67	24	56	10	62	4	26	42	8	5	47	148	446	44	178	77	38	24	15	17	42	11	19	167	20	19	332	2	113	146	124	7	147	76	110	4	5	23	2	8	0	17	2	51	109	17	1	1	7	3	7	11	8	7	20171
MO_007	4	283	1094	243	67	325	65	100	58	26	28	75	86	15	17	52	30	5	22	6	1315	10	32	0	32	29	27	5	36	3	2	5	64	21	11	6	19	9	221	9	20	35	74	1821	152	13	43	44	8	1	33	2081	91	0	135	5	856	12	11	13	42	220	349	923	34	11	1	9	15	24	12	2	2	36	13	31	12	13	50	65	476	9	7	6	2	5	2	3	6	6	0	17	0	7	0	0	1	0	4	151	52	7	36	8	8	7	321	68	14	36	2	44	19	765	981	391	106	0	43	0	78	38	15	8	85	16	34	125	32	66	5	6	5	33	36	10	22	4	15	38	15	18	1	132	44	27	114	385	10	224	172	1	56	18	4662	230	39	117	227	31	2	47	4	65	182	0	3	6	54	7	29	32	55	54	29	26	11	38	58	35	206	0	2	0	17	123	4	301	122	66	65	28	53	7	44	33	13	207	68	7	37	0	77	3	22	5	4	3	11	7	3	19	85	12	112	34	65	2	91	11	11	29	8	8	47	204	637	54	237	64	33	48	17	19	60	12	56	204	4	25	158	5	140	154	84	8	216	68	114	15	5	29	0	6	1	9	6	48	246	19	1	4	1	2	4	4	5	1	20027
MO_010	7	460	1503	269	102	296	116	124	83	21	24	93	162	12	20	69	58	11	20	11	1495	6	73	6	42	18	29	2	65	2	11	1	75	22	20	19	25	11	276	3	25	48	105	2404	195	30	101	61	12	3	89	2503	117	0	205	12	1160	22	13	24	75	247	443	1044	34	23	0	8	26	25	18	9	16	64	22	35	9	11	58	76	587	14	16	12	2	5	1	5	12	16	0	11	7	3	0	0	8	0	11	204	64	16	35	14	18	8	326	90	23	39	1	46	33	909	925	454	182	0	87	0	93	46	25	16	122	19	35	167	50	115	12	9	6	39	64	21	8	11	26	73	10	11	4	168	57	25	184	546	11	256	246	1	57	27	5669	247	69	158	344	25	2	69	4	90	211	4	2	10	91	20	47	35	82	81	47	40	9	43	57	48	432	0	6	9	13	128	14	366	143	96	109	41	98	15	56	52	17	282	81	1	48	2	142	8	16	20	6	2	22	3	6	21	77	6	124	33	95	1	102	2	36	33	8	9	84	304	687	75	226	94	47	48	29	37	88	3	62	222	3	23	164	4	168	155	118	6	309	108	131	18	4	31	0	6	2	28	1	65	330	25	0	5	4	5	10	10	6	0	25755
MO_034	9	298	2070	297	96	263	64	91	50	31	26	66	108	17	29	67	34	5	30	9	868	4	69	8	60	42	67	2	88	18	11	8	104	12	9	9	27	9	210	8	25	52	81	5480	196	22	68	49	3	1	119	1770	116	0	348	14	1202	21	18	21	156	349	425	1015	72	74	3	12	6	18	18	12	5	66	22	25	0	19	52	49	1124	9	21	28	6	13	2	6	5	22	2	20	16	4	0	2	5	1	10	122	30	14	20	15	25	20	274	102	22	36	2	26	10	652	647	422	109	0	38	0	61	26	14	3	81	22	62	160	32	100	4	4	5	41	37	18	19	21	18	25	17	9	1	97	59	31	176	287	10	269	258	1	43	33	3033	149	48	114	243	27	5	40	4	59	123	1	3	8	70	8	56	33	72	78	15	33	17	49	62	38	227	1	10	5	22	267	5	188	92	105	73	32	70	6	33	39	26	130	100	2	21	3	86	2	14	10	9	8	16	9	2	12	49	5	38	20	136	5	63	4	29	47	14	13	72	207	787	54	154	90	40	59	17	27	79	6	55	275	13	28	196	14	192	200	167	8	315	89	129	24	9	24	0	4	0	10	2	59	175	30	2	8	4	1	4	17	9	3	20307
MO_035	1	251	5100	219	62	118	31	54	48	34	13	52	39	5	65	44	30	5	9	10	382	4	18	2	10	14	102	7	137	22	16	15	182	18	31	13	27	19	137	16	47	66	78	7992	181	5	67	35	2	2	197	502	111	0	877	23	719	30	23	41	279	322	143	665	16	9	5	9	15	23	19	10	14	144	44	25	3	19	19	13	2484	27	62	47	7	14	6	7	20	27	1	30	20	8	0	0	14	0	16	79	17	13	37	8	13	38	197	149	43	27	2	44	9	324	369	200	55	0	51	0	51	27	18	8	138	31	54	181	35	102	12	3	8	44	62	11	18	28	26	19	9	9	1	78	96	18	166	103	23	499	297	2	46	40	1027	140	48	88	149	21	4	32	7	32	51	2	0	2	99	19	137	4	21	36	14	30	7	18	25	16	140	1	27	6	36	201	5	71	108	75	66	29	72	7	16	11	11	128	54	6	12	1	70	2	7	17	9	9	11	6	9	10	42	1	31	22	117	6	90	1	35	66	16	6	64	83	510	26	115	111	40	2	9	36	71	1	23	151	2	11	58	2	70	55	118	3	129	32	64	10	3	22	0	1	0	2	1	27	52	14	1	8	1	2	2	6	5	12	18748
MO_039	2	186	880	122	64	190	37	67	43	19	13	34	53	9	12	40	15	1	3	3	640	2	19	0	20	8	17	0	23	3	10	3	42	11	11	4	19	7	141	11	10	32	46	1230	83	4	37	19	13	0	33	900	48	1	88	1	482	18	9	15	46	121	236	561	35	18	2	6	8	13	14	3	2	21	14	15	6	13	14	14	288	9	7	11	0	5	1	2	2	2	0	9	4	2	0	0	3	0	8	71	21	1	17	4	5	1	170	42	9	38	0	28	10	442	480	269	69	0	23	0	29	23	10	10	46	7	28	78	18	41	5	2	3	31	37	10	8	11	4	22	8	3	2	188	42	22	94	176	2	152	149	0	30	19	1715	73	25	71	144	5	3	33	2	29	98	0	2	9	47	5	15	17	49	45	15	17	3	28	27	19	137	0	4	1	15	68	2	168	59	48	36	12	26	6	18	17	18	134	56	0	10	0	53	1	5	15	3	5	17	2	1	10	47	2	35	13	42	5	44	2	12	22	8	4	45	111	282	42	90	55	28	44	6	24	62	2	20	97	5	13	77	2	53	73	45	1	83	52	58	11	5	19	0	1	0	6	0	35	129	13	4	0	3	5	0	6	3	2	12275
MO_042	4	288	893	173	71	273	53	78	40	31	37	71	56	8	15	46	34	4	18	5	1049	0	57	3	23	14	13	2	51	9	6	1	52	9	2	3	21	7	176	5	13	23	61	2268	125	13	35	28	4	6	39	1391	93	1	82	0	936	22	10	19	48	165	332	850	45	32	0	5	3	20	19	2	6	41	12	23	8	8	28	23	534	14	15	14	2	7	4	9	5	14	0	10	2	0	0	1	2	2	8	94	46	9	14	10	21	3	223	47	11	38	1	28	6	624	717	351	103	0	50	0	27	12	19	5	54	15	48	69	29	46	7	3	3	25	33	13	13	8	13	32	13	5	4	83	48	28	103	247	24	150	163	1	37	24	2349	79	30	93	166	24	7	24	2	51	130	2	0	5	57	9	15	20	39	35	27	24	1	34	56	36	148	0	0	5	11	112	2	168	67	42	38	33	45	5	17	31	23	273	88	6	21	1	54	4	29	10	11	1	5	8	0	12	57	4	44	12	65	2	32	2	6	16	1	4	41	188	410	40	138	37	31	38	8	16	52	1	30	125	6	10	102	6	99	57	75	1	161	45	63	3	4	22	1	8	0	11	1	44	184	10	0	7	2	6	3	9	5	0	15556
MO_046	5	389	2168	405	124	329	131	146	63	43	34	70	118	14	26	52	43	4	28	10	1265	1	101	6	55	55	76	8	97	15	20	8	116	15	11	26	21	11	278	25	35	59	113	4893	258	17	80	46	8	2	97	3153	148	0	367	11	1340	36	14	22	104	467	529	1270	81	24	5	2	10	32	23	9	12	72	25	32	7	22	60	53	1064	17	20	25	4	14	5	5	8	27	0	29	8	5	1	0	11	2	4	173	75	11	29	13	19	12	399	146	31	60	4	36	7	907	966	548	156	0	85	0	86	38	35	6	125	36	86	184	41	126	3	4	16	50	48	20	25	27	26	40	25	9	0	174	110	49	217	360	11	222	303	2	57	30	4881	214	78	152	322	29	7	54	7	66	158	1	3	13	103	23	65	29	84	74	34	55	3	55	93	61	250	1	16	4	24	280	5	253	148	145	84	52	73	8	28	35	16	241	140	4	64	1	102	12	29	15	9	6	19	4	2	18	81	13	52	35	104	10	81	9	31	33	19	14	106	176	834	60	225	105	52	90	27	27	92	6	49	359	13	23	209	9	196	280	281	8	334	125	162	21	18	41	3	8	1	16	0	70	216	16	2	8	6	5	0	27	2	5	26724
