	MO_004	MO_005	MO_007	MO_010	MO_034	MO_035	MO_039	MO_042	MO_046	MO_071	MO_073	MO_074	MO_077	MO_082	MO_098	MO_102	MO_103	MO_106	MO_133	MO_135	MO_138	MO_140	MO_167	MO_170	MO_180	MO_184	MO_188	MO_192	MO_197	MO_199	MO_202	MO_207	MO_226	MO_231	MO_234	MO_236
6	0.000126306482680224	3.72599064776347e-05	0.000103229003220745	0	7.45934656124124e-05	9.75000975000975e-05	0.000214715144574864	0.000133443646747978	0.000118102099264814	0	7.52502069380691e-05	0	0	3.26979040643495e-05	1.73232165748536e-05	7.71292493395808e-05	7.06524043013184e-05	0	9.50344499881207e-05	0.000127471531357997	0	0.000143812468541023	5.10067456421112e-05	1.99499256865268e-05	1.16476809467235e-05	8.6043710204784e-05	0	2.9915041282757e-05	8.96877074028234e-05	4.17397111611988e-05	4.08396634811729e-05	5.05067510690596e-05	3.78701810194653e-05	3.94337316140226e-05	0	6.35748116596205e-05
10	0.000157883103350279	0.000149039625910539	0.000185812205797341	0.000308626935009665	0.000205132030434134	0.000117000117000117	0.000143143429716576	0.000213509834796765	0.000177153148897222	0.000209914984431305	0.000131687862141621	0.000100950375679612	0.000205782487910279	0.000163489520321747	0.000207878598898243	7.71292493395808e-05	0.000127174327742373	0.000157673993251553	6.33562999920805e-05	5.66540139368874e-05	0.00010630004960669	0.000179765585676278	6.3758432052639e-05	0.000179549331178741	8.15337666270646e-05	0.000129065565307176	9.16746336288749e-05	0.000284192892186191	0.000107625248883388	0.000146088989064196	9.52925481227368e-05	0.000101013502138119	3.78701810194653e-05	0.000138018060649079	0.000371609067261241	0.000127149623319241
16	0.000126306482680224	1.86299532388174e-05	2.0645800644149e-05	3.2487045790491e-05	5.59450992093093e-05	1.95000195000195e-05	0	0	0	8.74645768463772e-05	5.64376552035518e-05	1.44214822399446e-05	2.9397498272897e-05	4.90468560965242e-05	6.92928662994145e-05	0	4.2391442580791e-05	0	1.58390749980201e-05	4.24905104526656e-05	5.31500248033449e-05	1.79765585676278e-05	2.55033728210556e-05	8.97746655893707e-05	3.49430428401705e-05	0	3.92891286980892e-05	1.49575206413785e-05	7.17501659222587e-05	4.17397111611988e-05	2.72264423207819e-05	1.68355836896865e-05	0	0	3.53913397391658e-05	0.000111255920404336
18	0.000710473965076258	0.000968757568418503	0.000681311421256916	0.000844663190552767	0.000615396091302402	0.00076050076050076	0.000644145433724592	0.000640529504390296	0.000915291269302312	0.000682223699401742	0.000639626758973587	0.00056243780735784	0.000764334955095321	0.000882843409737436	0.00105671621106607	0.00104124486608434	0.000607610676991338	0.000441487181104349	0.000696919299912885	0.000240779559231772	0.000655516972574587	0.000593226432731718	0.00107114165848433	0.00344136218092588	0.00454259556922217	0.00335570469798658	0.00235734772188535	0.00254277850903434	0.000556063785897505	0.000605225811837382	0.000612594952217594	0.000589245429139028	0.000946754525486632	0.000552072242596317	0.000318522057652492	0.00071521663117073
20	0.000157883103350279	0.000223559438865808	0.000103229003220745	3.2487045790491e-05	3.72967328062062e-05	0.000156000156000156	0.000143143429716576	0.000106754917398383	0.000147627624081018	0.00019242206906203	0	0.000129793340159502	0.000161686240500933	0.000147140568289573	0.00019055538232339	1.92823123348952e-05	0.000127174327742373	9.46043959509318e-05	0.000190068899976241	0	0.000124016724541138	0.000179765585676278	2.55033728210556e-05	5.98497770595805e-05	9.31814475737881e-05	0	3.92891286980892e-05	0.000119660165131028	0.000233188039247341	0.000104349277902997	8.16793269623458e-05	0.000117849085827806	0.000151480724077861	5.91505974210339e-05	0	0.000127149623319241
22	0.00069468565474123	0.00070793822307506	0.000536790816747874	0.000649740915809821	0.000615396091302402	0.000585000585000585	0.000608359576295448	0.000640529504390296	0.000811951932445599	0.000629744953293916	0.000658439310708104	0.000620123736317619	0.000646744962003733	0.000882843409737436	0.000831514395592974	0.000597751682381751	0.000607610676991338	0.000378417583803727	0.000791953749901006	0.000509886125431987	0.00072638367231238	0.000934781045516646	0.000242282041800028	0.000658347547655385	0.000477554918815664	0.00043021855102392	0.000314313029584714	0.00049359818116549	0.000591938868858634	0.000626095667417981	0.000775953606142285	0.000606081012828715	0.000454442172233583	0.000690090303245396	0.000743218134522482	0.000381448869957723
32	3.15766206700559e-05	5.58898597164521e-05	0	1.62435228952455e-05	1.86483664031031e-05	0	0	0	1.47627624081018e-05	5.24787461078263e-05	0	4.32644467198339e-05	2.9397498272897e-05	0	1.73232165748536e-05	1.92823123348952e-05	5.65219234410547e-05	3.15347986503106e-05	0	0	1.77166749344483e-05	0	6.3758432052639e-05	9.97496284326341e-06	0	0	3.92891286980892e-05	1.49575206413785e-05	3.58750829611293e-05	8.34794223223975e-05	0	1.68355836896865e-05	3.78701810194653e-05	5.91505974210339e-05	0	3.17874058298102e-05
59	6.31532413401118e-05	3.72599064776347e-05	4.1291601288298e-05	6.49740915809821e-05	0	0	0	8.0066188048787e-05	0	1.74929153692754e-05	5.64376552035518e-05	5.76859289597785e-05	1.46987491364485e-05	3.26979040643495e-05	6.92928662994145e-05	5.78469370046856e-05	7.06524043013184e-05	0	1.58390749980201e-05	2.83270069684437e-05	0	0	0	4.9874814216317e-05	0.000128124490413959	8.6043710204784e-05	3.92891286980892e-05	0	0	2.08698555805994e-05	1.3613221160391e-05	3.3671167379373e-05	0	0	0	4.76811087447153e-05
64	4.73649310050838e-05	1.86299532388174e-05	2.0645800644149e-05	6.49740915809821e-05	1.86483664031031e-05	1.95000195000195e-05	7.1571714858288e-05	0.000106754917398383	0	0	3.76251034690345e-05	2.88429644798892e-05	1.46987491364485e-05	0	1.73232165748536e-05	1.92823123348952e-05	4.2391442580791e-05	3.15347986503106e-05	0	4.24905104526656e-05	1.77166749344483e-05	0	2.55033728210556e-05	1.99499256865268e-05	1.16476809467235e-05	8.6043710204784e-05	0.0003666985345155	0.000104702644489649	0	0.000104349277902997	4.08396634811729e-05	1.68355836896865e-05	1.89350905097326e-05	0.000118301194842068	0	1.58937029149051e-05
68	0.000410496068710727	0.000279449298582261	0.000309687009662235	0.000438575118171629	0.000410264060868268	0.000312000312000312	0.00017892928714572	0.000160132376097574	0.000250966960937731	0.000209914984431305	0.000319813379486794	0.00018747926911928	0.000205782487910279	0.000408723800804368	0.00043308041437134	0.000289234685023428	0.000296740098065537	0.000378417583803727	0.000269264274966342	0.000453232111495099	0.000230316774147828	0.000251671819946789	0.000255033728210556	0.000369073625200746	0.000454259556922217	0.000301152985716744	0.000314313029584714	0.000314107933468948	0.00053812624441694	0.000417397111611988	0.000122518990443519	0.000269369339034984	0.000397636900704385	0.000236602389684136	0.000141565358956663	0.000286086652468292
