	MO_004	MO_005	MO_007	MO_010	MO_034	MO_035	MO_039	MO_042	MO_046	MO_071	MO_073	MO_074	MO_077	MO_082	MO_098	MO_102	MO_103	MO_106	MO_133	MO_135	MO_138	MO_140	MO_167	MO_170	MO_180	MO_184	MO_188	MO_192	MO_197	MO_199	MO_202	MO_207	MO_226	MO_231	MO_234	MO_236
976	0.0525119201743029	0.0511205916873149	0.0790734164670906	0.0833617594984	0.0677122184096673	0.0426660426660427	0.0742914400229029	0.0854039339187061	0.0666833977973958	0.0679599762096351	0.0647339905184739	0.0732178653321988	0.0576337953640145	0.0446489879998692	0.0524027301389322	0.0507703283777791	0.0650426033997937	0.109488820913878	0.0510493387186188	0.10201971559685	0.0542307419743463	0.0467210757172647	0.0670738705193762	0.0683584203648841	0.0675914925338365	0.0767509895026674	0.0685071440732349	0.0786466435323681	0.0573463201133653	0.102804908590033	0.0942171036510659	0.0708441361662009	0.0740362038930546	0.11729563468591	0.129886216842739	0.0755109825487142
1090	0.000473649310050838	0.000838347895746782	0.000557436617392023	0.000406088072381138	0.000578099358496196	0.000351000351000351	0.000787288863441168	0.000747284421788679	0.000723375357996988	0.000489801630339712	0.000526751448566484	0.000418222984958394	0.000426263724957006	0.000735702841447863	0.000675605446419291	0.000655598619386437	0.000452175387528438	0.00050455677840497	0.000491011324938624	0.000580703642853096	0.000442916873361208	0.000359531171352556	0.000382550592315834	0.00046882325363338	0.00046590723786894	0.000344174840819136	0.000654818811634821	0.000418810577958598	0.00026906312220847	0.000459136822773186	0.000340330529009774	0.000521903094380282	0.000530182534272514	0.000532355376789306	0.000513174426217904	0.000619854413681299
1117	0.0358394644605134	0.0362538890027386	0.0346642992815261	0.0355408280947972	0.0491197971057735	0.0273390273390273	0.0313484111079301	0.0334943553337426	0.0475065694292716	0.0544379526291852	0.0596546015501543	0.0689923710358951	0.043361309952523	0.0247196154726482	0.0425284966912656	0.0442143421839147	0.0615523746273086	0.0700387878023399	0.0406589055199176	0.0963401506996771	0.0374530508114237	0.0355216797296326	0.170885349587483	0.034802645360146	0.0335919118503506	0.0750731371536741	0.253467265607606	0.135619839655379	0.0337405155249422	0.0704566324401035	0.0481771896866236	0.0561130004377252	0.0657805044308112	0.0598012539926653	0.0925306577480491	0.059966941097937
1224	0.608323597208627	0.637554259738808	0.602712858204641	0.56699641018144	0.560140981650007	0.457060957060957	0.552497852848554	0.587659131548747	0.579128406507426	0.62579155442046	0.609169237715404	0.585555443388471	0.616436141284377	0.61359251871955	0.570973218307175	0.567285628892617	0.577639927086719	0.516161584308284	0.676550249465431	0.606693671746643	0.650680320317483	0.69195369238513	0.499496308386784	0.572692541720282	0.583851655135463	0.517940113577697	0.464056995429365	0.512235251884648	0.587849109401065	0.584773353368395	0.593291404612159	0.574514293410552	0.54885253351511	0.522339208959344	0.534303056042187	0.557551098254871
1239	0.0311503362910101	0.0303481938260335	0.0297712445288628	0.0339164758052726	0.0316089810532597	0.0376155376155376	0.0346764958488405	0.0290373375323601	0.0319170923263161	0.0276038204527167	0.029385205809316	0.026823956966297	0.0317786956330016	0.0360821371350096	0.0370543602536119	0.0361736179402634	0.0303098814452656	0.0316294030462616	0.0245980834719252	0.0196447793326157	0.0267698958259514	0.0249514632918674	0.0264214942426136	0.0329173773827693	0.0324853821604119	0.0315780416451557	0.0255248372775253	0.0250837621155917	0.0307270085562073	0.0238959846397863	0.0275531596286313	0.0283511229334321	0.0264333863515868	0.0339918766512875	0.0248093291571552	0.0325185161638959
1297	0.00126306482680224	0.000875607802224416	0.000929061028986704	0.000974611373714731	0.000895121587348948	0.000663000663000663	0.00153879186945319	0.000960794256585444	0.00107768165579143	0.000542280376447539	0.000658439310708104	0.00102392523903607	0.000999514941278497	0.00122617140241311	0.00135121089283858	0.00106052717841924	0.000989133660218457	0.00122985714736211	0.000886988199889126	0.000679848167242649	0.00093898377152576	0.000467390522758323	0.000726846125400084	0.00106732102422918	0.000803689985323922	0.00064532782653588	0.00234425134565266	0.000912408759124088	0.000968627239950492	0.000500876533934385	0.000585368509896812	0.00072393009865652	0.000814208891918503	0.00126187941164872	0.000920174833218311	0.000921834769064497
32066	0.000473649310050838	0.000335339158298713	0.000516145016103725	0.000568523301333593	0.000522154259286886	0.000702000702000702	0.000393644431720584	0.00117430409138221	0.00032478077297824	0.000454815799601162	0.000451501241628414	0.000447065949438283	0.000573251216321491	0.00062126017722264	0.000796867962443267	0.000636316307051542	0.000494566830109229	0.000662230771656523	0.000475172249940603	0.000637357656789984	0.000407483523492311	0.000323578054217301	0.000739597811810612	0.000748122213244756	0.00069886085680341	0.000817415246945448	0.000235734772188535	0.000613258346296518	0.00053812624441694	0.00066783537857918	0.00042200985597212	0.000673423347587461	0.000435507081723851	0.000847825229701487	0.00104404452230539	0.000556279602021679
40117	0.00244718810192933	0.00191888518359819	0.00272524568502767	0.00272891184640125	0.001808891541101	0.00152100152100152	0.00672774119667907	0.00221516453601644	0.00256872065900971	0.00148689780638841	0.00158025434569945	0.00226417271167131	0.00260167859715138	0.00240329594872969	0.00252918961992863	0.00246813597886659	0.00230326838022298	0.00318501466368137	0.00172645917478419	0.000920627726474421	0.00186025086811707	0.00170777306392464	0.00218053837620025	0.00229424145395058	0.00281873878910709	0.00253828945104113	0.00119177023717537	0.00186969008017231	0.00188344185545929	0.00154436931296435	0.00201475673173786	0.00144786019731304	0.0017988335984246	0.00207027090973619	0.0014510449293058	0.00171651991480975
57723	0.0240771732609176	0.0223000540268644	0.0209348418531671	0.0240729009307539	0.0202707742801731	0.0238485238485238	0.025336387059834	0.0208705863513838	0.0227494168708849	0.0150264143022076	0.0179095492512604	0.0166279690226561	0.0198874075816148	0.0220220383873394	0.0225375047638846	0.0241414550432888	0.0209696335966313	0.0201192015388982	0.0132731448483409	0.0107217721375559	0.0162461909148891	0.0127633565830157	0.0163604136647072	0.0262840270919991	0.0265567125585296	0.0233178454654965	0.0124284610448289	0.0157353117147302	0.0208254856589356	0.0165915351865765	0.0201339540962182	0.0193272500757601	0.0138983564341438	0.0149453842817146	0.0109359239794022	0.0189135064687371
62680	0.000205248034355363	0.000111779719432904	2.0645800644149e-05	0.000162435228952455	0.000130538564821722	7.8000078000078e-05	0.00017892928714572	0.00018682110544717	0.000132864861672916	0.000122450407584928	3.76251034690345e-05	4.32644467198339e-05	0.000117589993091588	0.000114442664225223	8.66160828742681e-05	5.78469370046856e-05	0.000113043846882109	3.15347986503106e-05	0.000158390749980201	9.9144524389553e-05	0.000159450074410035	0.000125835909973395	6.3758432052639e-05	0.000149624442648951	0.0001980105760943	0.000172087420409568	0.000222638395955839	0.000179490247696542	7.17501659222587e-05	0.000125219133483596	0.000176971875085083	0.000168355836896865	3.78701810194653e-05	0.000216885523877124	0.000106174019217497	0.000127149623319241
67819	0.00142094793015252	0.00115505710080668	0.00121810223800479	0.000909637282133749	0.00113755035058929	0.00237900237900238	0.0008946464357286	0.00106754917398383	0.00116625823024004	0.000787181191617395	0.000790127172849725	0.000793181523196954	0.00067614246027663	0.00104633293005918	0.00122994837681461	0.00104124486608434	0.000748915485593975	0.000788369966257765	0.000728597449908925	0.000339924083621325	0.000761817022181277	0.000755015459840368	0.000777852871042195	0.00178551834894415	0.00132783562792648	0.0016348304938909	0.00144060138559661	0.00101711140361374	0.00105831494735332	0.00068870523415978	0.000789566827302676	0.000976463854001818	0.00071953343936984	0.000630939705824362	0.000725522464652899	0.00104898439238374
74152	0.00104202848211184	0.000931497661940869	0.00123874803864894	0.00134821240030538	0.000671341190511711	0.000819000819000819	0.00157457772688234	0.000960794256585444	0.00101863060615902	0.000822167022355946	0.000959440138460381	0.00102392523903607	0.00105830993782429	0.0013569630186705	0.00126459480996431	0.00152330267445672	0.00127174327742373	0.00100911355680994	0.000681080224914865	0.00099144524389553	0.000974417121394657	0.000826921694110879	0.00110939671771592	0.00140646976090014	0.00146760779928716	0.00146274307348133	0.00083816807889257	0.000867536197199952	0.000825126908105975	0.000960013356707572	0.000721500721500722	0.00102697060507088	0.000700598348860108	0.00114357821680666	0.00104404452230539	0.00109666550112845
74201	0.0129148378540529	0.012649738249157	0.0194070526055	0.0183064503029417	0.0144524839624049	0.021001521001521	0.0197180074434583	0.0150791320825216	0.0127550267206	0.0104082846447189	0.0127549100760027	0.0181710676223302	0.0115091205738392	0.0126540888729032	0.01538301631847	0.0154451321802511	0.0175500572284475	0.0187316703982845	0.0126554209234181	0.0156789983570336	0.0111083551838991	0.0103544977349536	0.0081228242435062	0.0142741718287099	0.0118922822466047	0.013164687661332	0.00814594601673717	0.0130878305612062	0.0195698577552961	0.0129601803155522	0.0162133464020256	0.0140745479645779	0.0167954252821328	0.020939311487046	0.0210578471448037	0.0152579547983089
95818	0.000236824655025419	0.000279449298582261	0.000433561813527129	0.000422331595276384	0.000391615694465165	0.000721500721500722	0.000143143429716576	0.000507085857642318	0.000339543535386341	0.00019242206906203	0.000357438482955828	0.000259586680319003	0.000220481237046727	0.000376025896740019	0.000640959013269584	0.000404928559032799	0.00042391442580791	0.000409952382454038	0.000237586124970302	0.00015579853832644	0.000141733399475586	0.000233695261379162	0.000599329261294806	0.000428923402260327	0.000209658257041023	0.00021510927551196	0.000157156514792357	0.00019444776833792	0.000609876410339199	0.000396527256031388	0.000340330529009774	0.000235698171655611	0.000530182534272514	0.000138018060649079	0.000407000407000407	0.000222511840808672
142182	0.000805203827086425	0.00078245803603033	0.000970352630275002	0.00112080307977194	0.000745934656124124	0.000624000624000624	0.00118093329516175	0.000640529504390296	0.000797189170037497	0.000559773291816814	0.000733689517646174	0.000677809665277397	0.000867226199050461	0.000915541313801785	0.000935453695042095	0.000752010181060913	0.000678263081292656	0.000819904764908076	0.000411815949948523	0.000127471531357997	0.000708666997377932	0.000557273315596462	0.00116040346335803	0.00115709568981856	0.00164232301348801	0.000989502667355016	0.0003666985345155	0.000538470743089626	0.000412563454052987	0.000563486100676183	0.000707887500340331	0.000690258931277147	0.000321896538665455	0.000670373437438385	0.000530870096087487	0.00065164181951111
200783	0.00153146610249771	0.00108053728785141	0.00107358163349575	0.00170556990400078	0.00145457257944204	0.00146250146250146	0.00135986258230747	0.00160132376097574	0.00137293690395347	0.0011370394990029	0.000959440138460381	0.0010671896857559	0.0009701174430056	0.001683942059314	0.00157641270831168	0.0011955033647635	0.00154022241376874	0.00107218315411056	0.000823631899897046	0.000623194153305762	0.00132875062008362	0.00127633565830157	0.00198926308004234	0.00140646976090014	0.00140936939455354	0.00137669936327654	0.000589336930471339	0.00104702644489649	0.00161437873325082	0.00114784205693297	0.0012115766832748	0.00133001111148524	0.0010414299780353	0.00112386135099965	0.00107943586204456	0.00104898439238374
200795	0.0206984748492216	0.0172327067459061	0.0180031381616979	0.0279388593798223	0.0195061912576458	0.0212745212745213	0.023368164901231	0.0187888654621153	0.0196049484779592	0.0134170660882343	0.0180412371134021	0.0163828038245771	0.0206664412858466	0.0221037831475002	0.0149672591206735	0.0166792001696843	0.0199663694555526	0.0201507363375485	0.010263720598717	0.00761996487451136	0.0156438239671179	0.0110735600776587	0.0235906198594764	0.0246780580742337	0.0350245766067976	0.0311478230941318	0.0119307987479864	0.0204768457580471	0.0180092916464869	0.0137323649720344	0.0160636009692613	0.0164146940974444	0.0143527986063773	0.0252967388303955	0.0145281449629276	0.0213293493118027
200918	0.00189459724020335	0.00190025523035937	0.00185812205797341	0.00173805694979127	0.00199537520513203	0.00243750243750244	0.00221872316060693	0.00170807867837412	0.00225870264843958	0.00174929153692754	0.00216344344946949	0.0020045860313523	0.00199902988255699	0.00189647843573227	0.00200949312268302	0.00227531285551763	0.00219022453334087	0.0020812967109205	0.00137799952482775	0.00152965837629596	0.00145276734462476	0.00159991371251888	0.00178523609747389	0.00191519286590657	0.00194516271810283	0.00184993976940286	0.000995324593684927	0.00140600694028958	0.00199106710434268	0.00158610902412555	0.00170165264504887	0.00161621603420991	0.00155267742179808	0.0024448913600694	0.00146874059917538	0.00178009472646937
200930	0.00124727651646721	0.00102464742813496	0.000908415228342555	0.000925880805028995	0.00110025361778308	0.00187200187200187	0.00150300601202405	0.00128105900878059	0.0016239038648912	0.00129447573732638	0.00107231544886748	0.000793181523196954	0.00124939367659812	0.00171663996337835	0.00152444305858712	0.0016004319237963	0.000989133660218457	0.00104064835546025	0.00112457432485943	0.000694011670726871	0.00083268372191907	0.000862874811246135	0.000573825888473751	0.00119699554119161	0.00147925548023389	0.00184993976940286	0.000851264455125267	0.00079274859399306	0.000986564781431057	0.000793054512062776	0.000871246154265022	0.00136368227886461	0.000871014163447701	0.00136046374068378	0.000707826794783317	0.00136685845068184
200938	0.000110518172345196	9.31497661940869e-05	0.000371624411594682	0.000178678751847701	0.000167835297627928	0.000175500175500175	0.000107357572287432	0.000133443646747978	0.000132864861672916	8.74645768463772e-05	0.000131687862141621	0.000158636304639391	0.000146987491364485	0.000147140568289573	0.000173232165748536	0.000231387748018742	0.000183696251183428	3.15347986503106e-05	7.91953749901006e-05	0.000198289048779106	0.000194883424278931	5.39296757028834e-05	8.92618048736945e-05	0.000139649479805688	0.000209658257041023	4.3021855102392e-05	0.000117867386094268	0.00019444776833792	0.000233188039247341	6.26095667417981e-05	0.000176971875085083	8.41779184484326e-05	0.000189350905097326	0.000256319255491147	0.000141565358956663	0.000254299246638482
200940	0.000647320723736146	0.000614788456880973	0.000784540424477661	0.00118577717135292	0.000466209160077577	0.000370500370500371	0.000787288863441168	0.000854039339187061	0.000590510496324072	0.000419829968862611	0.000489126345097449	0.00056243780735784	0.000646744962003733	0.000882843409737436	0.000744898312718706	0.000886986367405179	0.000635871638711865	0.00050455677840497	0.000491011324938624	0.000354087587105546	0.000620083622705691	0.000449413964190695	0.000739597811810612	0.000558597919222751	0.000559088685442728	0.000301152985716744	0.000288120277119321	0.000433768098599976	0.000376688371091858	0.000292177978128391	0.000530915625255248	0.000420889592242163	0.000511247443762781	0.000571789108403328	0.000283130717913327	0.00071521663117073
201174	0.0600113675834412	0.0481584291223429	0.040465769262532	0.0427529522602862	0.0803744591973743	0.159354159354159	0.0532493558545663	0.0583949398169153	0.0641589654256104	0.0581814365182101	0.0537662728572504	0.0463073794724622	0.0532388693722164	0.0601968413824674	0.083082146692998	0.0810628410558994	0.0511523407141545	0.0503926082431964	0.044064306644492	0.0316695937907201	0.0500673233647509	0.0409865535341914	0.0723530686933347	0.0606876739384146	0.0411745521466676	0.0616503183617278	0.0583836452453606	0.0771359339475888	0.075445299467255	0.0407796978044912	0.0380353399221324	0.0738745412303445	0.091077785351814	0.0345833826254979	0.0394967351489091	0.062144378397279
203682	0.0487227256938962	0.0414330160031298	0.036728879345941	0.0411448434936569	0.0525324481575414	0.114192114192114	0.0498854852562267	0.037951373135125	0.0460302931884614	0.0404611132491341	0.0383776055384152	0.0534027487345149	0.0412152925786016	0.0457443677860249	0.0528531337698784	0.0470102774724745	0.0454294959657477	0.0468922455930119	0.0446345133444207	0.0372500141635035	0.0457444546807455	0.042406701661034	0.0267657897756978	0.0456554049336166	0.0466489621916276	0.0431939425228016	0.0253807771389656	0.0344022974751705	0.0599831387110083	0.0394648969029134	0.0428816466552316	0.0498333277214721	0.0617094599712187	0.0351551717339012	0.0357983401461662	0.048237388346737
