sample,long,lat
41-1,-149.8185891,-17.4937713
41-2,-149.8186866,-17.48681255
41-3,-149.816122,-17.48231948
41-4,-149.8123283,-17.48111322
44+1,-149.8231262,-17.49966952
44+2,-149.8248285,-17.49507677
44+3,-149.825266,-17.48978823
44+4,-149.8271628,-17.48556661
44+5,-149.8308593,-17.48422102
44+6,-149.8364531,-17.48412767
44+7,-149.8406147,-17.4840589
44+8,-149.8476187,-17.4852647
44+9,-149.8502942,-17.48939334
44+10,-149.8521429,-17.49329007
44+11,-149.8537748,-17.49861959
44+12,-149.8537265,-17.50358351
44+13,-149.8504103,-17.51183679
29+1,-149.800196,-17.47446442
29+2,-149.7974696,-17.47421664
71+1,-149.9038078,-17.48998212
71+2,-149.9086669,-17.49000603
71+3,-149.9102876,-17.49264017
71+4,-149.9132346,-17.49261202
71+5,-149.9148942,-17.49624353
71+6,-149.916101,-17.50117855
81+1,-149.8571474,-17.57864096
82+1,-149.8530806,-17.58214241
82+3,-149.8508509,-17.58620538
82+3,-149.846691,-17.58625285
83+1,-149.8414386,-17.58625474
83+2,-149.8393358,-17.58780475
83+3,-149.8408617,-17.5892586
83+4,-149.8386005,-17.59122574
93+1,-149.7741638,-17.54109855
93+2,-149.772333,-17.5321815
95+1,-149.7724394,-17.51877724
37,-149.779625,-17.47612153
38,-149.7839769,-17.47713654
39,-149.7896633,-17.47873571
40,-149.7963548,-17.47968128
41,-149.8006384,-17.48049912
42,-149.8033728,-17.47956124
43,-149.8056337,-17.48093433
