"Source","Target","Type","Weight"
"MO_074.c_1361.region001","MO_188.c_17321.region001","Directed",0.388787925243378
"MO_167.c_9112.region001","MO_202.c_8012.region001","Directed",0.193882837891579
"MO_197.c_4564.region001","MO_236.c_1302.region001","Directed",0.67909049987793
"MO_077.c_1247.region001","MO_197.c_1552.region001","Directed",0.300069004297256
"MO_074.c_1522.region001","MO_192.c_3312.region001","Directed",0.213718473911285
"MO_071.c_3994.region001","MO_188.c_6458.region001","Directed",0.178752958774567
"MO_138.c_4794.region001","MO_184.c_301.region001","Directed",0.256031155586243
"MO_167.c_10165.region001","MO_192.c_3752.region001","Directed",0.184812158346176
"MO_133.c_727.region001","MO_140.c_98.region001","Directed",0.913060009479523
"MO_188.c_8135.region001","MO_192.c_2215.region001","Directed",0.164633139967918
"MO_071.c_2925.region001","MO_197.c_640.region001","Directed",0.163655295968056
"MO_071.c_1329.region001","MO_133.c_78.region001","Directed",0.426306635141373
"MO_102.c_817.region001","MO_167.c_2984.region001","Directed",0.229049146175385
"MO_004.c_126.region001","MO_170.c_151.region001","Directed",0.94839209318161
"MO_004.c_2210.region001","MO_188.c_16601.region001","Directed",0.335841417312622
"MO_074.c_5417.region001","MO_077.c_2777.region001","Directed",0.201162576675415
"MO_188.c_6793.region001","MO_202.c_104.region001","Directed",0.339655548334122
"MO_004.c_26.region001","MO_133.c_2764.region001","Directed",0.951418817043304
"MO_140.c_2602.region001","MO_197.c_6473.region001","Directed",0.317484676837921
"MO_005.c_3714.region001","MO_082.c_4168.region001","Directed",0.182751595973969
"MO_082.c_335.region001","MO_197.c_3368.region001","Directed",0.990768194198608
"MO_082.c_719.region001","MO_197.c_850.region001","Directed",0.27298977971077
"MO_005.c_91.region001","MO_098.c_3278.region001","Directed",0.224685564637184
"MO_188.c_16911.region001","MO_226.c_1761.region001","Directed",0.176346018910408
"MO_071.c_995.region001","MO_133.c_648.region001","Directed",0.400527477264404
"MO_073.c_1647.region001","MO_133.c_391.region001","Directed",0.519780218601227
"MO_133.c_5193.region001","MO_192.c_5044.region001","Directed",0.351388961076736
"MO_005.c_1641.region001","MO_077.c_607.region001","Directed",0.341457396745682
"MO_071.c_1000.region001","MO_140.c_320.region001","Directed",0.470909595489502
"MO_192.c_2203.region001","MO_234.c_1809.region001","Directed",0.243871912360191
"MO_010.c_5521.region001","MO_140.c_848.region001","Directed",0.409271121025085
"MO_034.c_1878.region001","MO_188.c_5711.region001","Directed",0.263280212879181
"MO_188.c_7702.region001","MO_188.c_8135.region001","Directed",0.16144460439682
"MO_071.c_33.region001","MO_133.c_4200.region001","Directed",0.789942681789398
"MO_098.c_188.region001","MO_197.c_850.region001","Directed",0.170228257775307
"MO_167.c_2353.region001","MO_192.c_2355.region001","Directed",1
"MO_188.c_10315.region001","MO_192.c_2637.region001","Directed",0.204386547207832
"MO_071.c_2925.region001","MO_077.c_382.region001","Directed",0.255645215511322
"MO_103.c_6108.region001","MO_167.c_146.region001","Directed",0.430410385131836
"MO_073.c_2037.region001","MO_082.c_559.region001","Directed",0.177456319332123
"MO_071.c_509.region001","MO_180.c_89.region001","Directed",0.600353538990021
"MO_004.c_12.region001","MO_138.c_5123.region001","Directed",0.399778604507446
"MO_073.c_3248.region001","MO_140.c_1737.region001","Directed",0.82303512096405
"MO_103.c_6100.region001","MO_197.c_3013.region001","Directed",0.440595537424088
"MO_082.c_3989.region001","MO_170.c_43.region001","Directed",0.276829928159714
"MO_004.c_2815.region001","MO_226.c_949.region001","Directed",0.167242348194122
"MO_035.c_977.region001","MO_207.c_2274.region001","Directed",0.213912948966026
"MO_192.c_7940.region001","MO_226.c_1161.region001","Directed",0.285478085279465
"MO_004.c_152.region001","MO_005.c_3877.region001","Directed",0.227955475449562
"MO_138.c_6141.region001","MO_197.c_1560.region001","Directed",0.174746721982956
"MO_010.c_13063.region001","MO_077.c_382.region001","Directed",0.233962148427963
"MO_188.c_429.region001","MO_192.c_240.region001","Directed",0.902499973773956
"MO_005.c_1202.region001","MO_071.c_3994.region001","Directed",0.272843182086945
"MO_071.c_1758.region001","MO_135.c_115.region001","Directed",0.364302545785904
"MO_188.c_16328.region001","MO_188.c_16515.region001","Directed",0.300426602363586
"MO_188.c_15999.region001","MO_192.c_4273.region001","Directed",0.240443140268326
"MO_207.c_242.region001","MO_236.c_42.region001","Directed",0.75776869058609
"MO_188.c_16574.region001","MO_192.c_9046.region001","Directed",0.206311449408531
"MO_004.c_2815.region001","MO_226.c_1636.region001","Directed",0.172422021627426
