Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
MO_004.bin.1	k__Bacteria (UID203)	5449	104	58	25.86	3.45	0.00	1053564	18673	3234	3234	404	396	325	320	3031	2932	36.9	6.27	-100.00	-1	-1	85	15	4	0	0	0
MO_004.bin.10	c__Alphaproteobacteria (UID3305)	564	348	229	5.98	0.00	0.00	88563	2167	323	323	351	336	274	267	1159	1096	35.0	6.82	-100.00	-1	-1	314	34	0	0	0	0
MO_004.bin.11	c__Deltaproteobacteria (UID3216)	83	247	155	51.86	0.22	0.00	1065738	39785	3479	3479	400	386	306	294	1962	1904	38.7	6.56	-100.00	-1	-1	92	154	1	0	0	0
MO_004.bin.12	p__Cyanobacteria (UID2192)	79	584	458	32.21	0.25	100.00	558068	25404	2071	2071	384	367	269	257	1869	1768	36.3	4.50	-100.00	-1	-1	371	211	2	0	0	0
MO_004.bin.13	root (UID1)	5656	56	24	0.00	0.00	0.00	72811	2821	429	429	226	215	169	163	982	946	39.0	0.00	-100.00	-1	-1	56	0	0	0	0	0
MO_004.bin.14	c__Deltaproteobacteria (UID3216)	83	247	155	54.82	1.51	0.00	1140288	20036	3622	3622	383	377	314	309	2734	2649	37.6	5.04	-100.00	-1	-1	100	144	3	0	0	0
MO_004.bin.15	k__Bacteria (UID203)	5449	104	58	10.34	0.00	0.00	154811	4495	511	511	396	388	302	294	1471	1420	35.5	6.94	-100.00	-1	-1	98	6	0	0	0	0
MO_004.bin.16	c__Deltaproteobacteria (UID3216)	83	247	155	10.86	0.00	0.00	156350	5183	562	562	358	342	278	268	3873	3696	38.5	3.72	-100.00	-1	-1	210	37	0	0	0	0
MO_004.bin.17	c__Deltaproteobacteria (UID3216)	83	247	155	95.48	1.13	33.33	1433063	53187	4573	4573	394	379	313	301	2987	2803	37.5	5.30	-100.00	-1	-1	7	237	3	0	0	0
MO_004.bin.2	k__Bacteria (UID203)	5449	104	58	22.41	0.00	0.00	363667	8719	1093	1093	403	397	332	324	1796	1767	36.9	4.98	-100.00	-1	-1	89	15	0	0	0	0
MO_004.bin.3	c__Alphaproteobacteria (UID3305)	564	349	230	81.89	6.30	39.13	1323421	29089	4472	4472	367	359	295	289	1616	1578	35.9	4.77	-100.00	-1	-1	69	259	20	1	0	0
MO_004.bin.4	c__Deltaproteobacteria (UID3216)	83	247	155	4.54	0.00	0.00	160003	5914	528	528	391	381	303	291	1246	1198	39.2	6.28	-100.00	-1	-1	218	29	0	0	0	0
MO_004.bin.5	c__Deltaproteobacteria (UID3216)	83	247	155	77.69	2.10	25.00	1166090	45272	3864	3864	386	371	301	290	2367	2285	37.5	5.66	-100.00	-1	-1	63	180	4	0	0	0
MO_004.bin.6	c__Gammaproteobacteria (UID4267)	119	544	284	12.73	0.35	0.00	149900	3773	504	504	392	383	297	289	1477	1457	36.2	2.88	-100.00	-1	-1	464	79	1	0	0	0
MO_004.bin.7	c__Deltaproteobacteria (UID3216)	83	247	155	76.18	7.06	73.33	1133841	32147	3673	3673	389	378	308	299	2744	2636	36.2	5.23	-100.00	-1	-1	49	183	15	0	0	0
MO_004.bin.8	root (UID1)	5656	56	24	4.17	0.00	0.00	199159	4396	666	666	377	366	299	292	1478	1461	35.8	1.54	-100.00	-1	-1	55	1	0	0	0	0
MO_004.bin.9	c__Alphaproteobacteria (UID3305)	564	349	230	40.11	0.65	50.00	572447	13126	1967	1967	364	355	291	284	1414	1379	36.0	5.07	-100.00	-1	-1	208	139	2	0	0	0
MO_005.bin.1	k__Bacteria (UID203)	5449	103	58	6.13	0.00	0.00	78548	3592	315	315	374	356	249	237	1012	975	35.7	0.00	-100.00	-1	-1	89	14	0	0	0	0
MO_005.bin.10	p__Cyanobacteria (UID2143)	129	471	368	37.59	0.00	0.00	553634	19344	1957	1957	368	353	282	273	1634	1599	34.2	5.04	-100.00	-1	-1	288	183	0	0	0	0
MO_005.bin.11	c__Deltaproteobacteria (UID3216)	83	247	155	96.11	0.81	0.00	1419019	52472	4538	4538	393	379	312	301	2987	2804	37.5	5.01	-100.00	-1	-1	7	238	2	0	0	0
MO_005.bin.12	c__Alphaproteobacteria (UID3422)	26	529	308	98.38	0.93	0.00	1092006	30699	3452	3452	394	384	316	307	2829	2761	34.8	5.53	-100.00	-1	-1	5	515	9	0	0	0
MO_005.bin.13	c__Deltaproteobacteria (UID3216)	83	247	155	48.40	0.00	0.00	986018	36761	3185	3185	404	390	309	298	2422	2355	38.5	5.09	-100.00	-1	-1	132	115	0	0	0	0
MO_005.bin.14	c__Deltaproteobacteria (UID3216)	83	247	155	75.77	0.38	0.00	975758	37707	3247	3247	379	364	300	288	2065	1984	37.4	5.59	-100.00	-1	-1	69	176	2	0	0	0
MO_005.bin.15	k__Bacteria (UID203)	5449	104	58	45.85	3.45	0.00	795721	13581	2528	2528	380	374	314	309	2631	2614	37.3	5.59	-100.00	-1	-1	72	30	2	0	0	0
MO_005.bin.16	c__Deltaproteobacteria (UID3216)	83	247	155	57.93	2.58	0.00	1605577	28755	4849	4849	407	400	331	325	2620	2568	37.1	6.43	-100.00	-1	-1	123	120	4	0	0	0
MO_005.bin.17	k__Bacteria (UID203)	5449	104	58	18.97	0.00	0.00	162758	4012	533	533	401	390	305	297	1581	1538	36.0	4.63	-100.00	-1	-1	92	12	0	0	0	0
MO_005.bin.18	o__Sphingomonadales (UID3310)	26	569	293	99.20	0.34	0.00	995023	26244	3073	3073	400	388	323	315	3247	3073	34.6	6.21	-100.00	-1	-1	4	564	1	0	0	0
MO_005.bin.19	root (UID1)	5656	56	24	4.17	0.00	0.00	212125	4386	727	727	357	349	291	285	1317	1279	33.5	3.48	-100.00	-1	-1	55	1	0	0	0	0
MO_005.bin.2	k__Bacteria (UID203)	5449	104	58	10.91	0.00	0.00	88184	2473	288	288	406	397	306	297	1434	1405	36.5	4.24	-100.00	-1	-1	86	18	0	0	0	0
MO_005.bin.20	k__Bacteria (UID203)	5449	103	57	12.46	0.00	0.00	190207	7156	612	612	392	377	310	299	1505	1457	38.6	4.05	-100.00	-1	-1	90	13	0	0	0	0
MO_005.bin.3	k__Bacteria (UID203)	5449	104	58	13.79	0.00	0.00	211690	4643	731	731	367	356	289	283	1205	1182	35.1	3.25	-100.00	-1	-1	95	9	0	0	0	0
MO_005.bin.4	c__Alphaproteobacteria (UID3305)	564	349	230	75.52	7.61	50.00	1182178	26075	4028	4028	360	350	293	287	1461	1440	35.8	4.65	-100.00	-1	-1	87	241	19	1	1	0
MO_005.bin.5	c__Deltaproteobacteria (UID3216)	83	247	155	74.01	3.34	66.67	1029936	28944	3351	3351	394	383	307	298	3417	3299	36.1	5.26	-100.00	-1	-1	56	179	12	0	0	0
MO_005.bin.6	c__Alphaproteobacteria (UID3305)	564	349	230	33.71	1.09	0.00	507617	11368	1700	1700	375	366	298	291	1505	1468	35.8	5.64	-100.00	-1	-1	225	120	4	0	0	0
MO_005.bin.7	k__Bacteria (UID203)	5449	104	58	15.83	0.00	0.00	165477	4012	616	616	337	327	268	262	1141	1108	34.7	9.11	-100.00	-1	-1	90	14	0	0	0	0
MO_005.bin.8	f__Rhodobacteraceae (UID3356)	67	617	330	58.52	1.40	20.00	682663	15930	2418	2418	347	339	282	275	2133	2098	34.0	5.26	-100.00	-1	-1	262	345	10	0	0	0
