"Id","Label","clade","size","BGCtype","complete","MAGhit","MAG","GCFnum"
"MB.region.BGC0000301","Anabaenopeptin","knownBGC","5","ApnA","NO","NO","NA.",2311
"MB.region.BGC0000302","Anabaenopeptin","knownBGC","5","unknown","NO","NO","NA.",2311
"MB.region.BGC0000331","Cyanopeptin","knownBGC","5","ABC transporter","NO","NO","NA.",12
"MB.region.BGC0000332","Cyanopeptolin","knownBGC","5","unknown","NO","NO","NA.",12
"MB.region.BGC0000427","Shinorine","knownBGC","5","Amino acid adenylation","YES","NO","NA.",1605
"MB.region.BGC0000647","Carotenoid","knownBGC","5","unknown","NO","NO","NA.",2015
"MB.region.BGC0000656","Zeaxanthin","knownBGC","5","unknown","NO","NO","NA.",2020
"MB.region.BGC0000663","Hopene","knownBGC","5","putative phytoene synthase","YES","NO","NA.",904
"MB.region.BGC0000869","Heterocystglycolipids","knownBGC","5","HglE","NO","NO","NA.",1817
"MB.region.BGC0000890","NA.","NA.","NA.","Bmp10, Ferredoxin Reductase","NO","NO","NA.",19
"MB.region.BGC0000891","NA.","NA.","NA.","NAD(FAD)-dependent dehydrogenase","YES","NO","NA.",19
"MB.region.BGC0001004","NA.","NA.","NA.","TetR type regulatory protein","YES","NO","NA.",17
"MB.region.BGC0001018","Micropeptin","knownBGC","5","unknown","NO","NO","NA.",12
"MB.region.BGC0001064","Cylindrocyclophane","knownBGC","5","unknown","NO","NO","NA.",2743
"MB.region.BGC0001071","Nosperin","knownBGC","5","trans-AT polyketide synthase","NO","NO","NA.",1999
"MB.region.BGC0001160","Nonadecene","knownBGC","5","unknown","YES","NO","NA.",1891
"MB.region.BGC0001164","1-heptadecene","knownBGC","5","unknown","YES","NO","NA.",1843
"MB.region.BGC0001183","NA.","NA.","NA.","unknown","NO","NO","NA.",17
"MB.region.BGC0001357","Carbamidocyclophane","knownBGC","5","unknown","YES","NO","NA.",2743
"MB.region.BGC0001465","NA.","NA.","NA.","ferredoxin--NAD(+) reductase","YES","NO","NA.",19
"MB.region.BGC0001564","Cusperin","knownBGC","5","CusA","NO","NO","NA.",1999
"MB.region.BGC0001566","Cylindrocyclophane","knownBGC","5","unknown","NO","NO","NA.",2743
"MB.region.BGC0001632","KawaguchipeptinA","knownBGC","5","cyanobactin S8 peptidase","YES","NO","NA.",606
"MO_004.c_1013.region001","MO_004_c1013_001","site1","1","NAGGN","NO","YES","MO_004.bin.6",23
"MO_004.c_1153.region001","MO_004_c1153_001","site1","1","T1PKS","NO","YES","MO_004.bin.12",2697
"MO_004.c_12.region001","MO_004_c12_001","site1","1","terpene","YES","YES","MO_004.bin.17",2786
"MO_004.c_126.region001","MO_004_c126_001","site1","1","arylpolyene","NO","YES","MO_004.bin.8",1393
"MO_004.c_143.region001","MO_004_c143_001","site1","1","bacteriocin","NO","YES","MO_004.bin.5",2942
"MO_004.c_152.region001","MO_004_c152_001","site1","1","T1PKS","NO","YES","MO_004.bin.7",1976
"MO_004.c_1649.region001","MO_004_c1649_001","site1","1","T3PKS","NO","YES","MO_004.bin.12",29
"MO_004.c_1676.region001","MO_004_c1676_001","site1","1","NRPS-like","NO","YES","MO_004.bin.8",766
"MO_004.c_1682.region001","MO_004_c1682_001","site1","1","NRPS-like","NO","NO","NA.",31
"MO_004.c_1685.region001","MO_004_c1685_001","site1","1","siderophore","NO","YES","MO_004.bin.11",1399
"MO_004.c_1718.region001","MO_004_c1718_001","site1","1","terpene","NO","YES","MO_004.bin.2",801
"MO_004.c_1752.region001","MO_004_c1752_001","site1","1","terpene","NO","YES","MO_004.bin.9",1420
"MO_004.c_18.region001","MO_004_c18_001","site1","1","hglE-KS","NO","YES","MO_004.bin.5",1421
"MO_004.c_1962.region001","MO_004_c1962_001","site1","1","arylpolyene","NO","YES","MO_004.bin.9",2686
"MO_004.c_1988.region001","MO_004_c1988_001","site1","1","terpene","NO","YES","MO_004.bin.7",1478
"MO_004.c_2035.region001","MO_004_c2035_001","site1","1","terpene","NO","YES","MO_004.bin.1",2020
"MO_004.c_2166.region001","MO_004_c2166_001","site1","1","NRPS-like","NO","YES","MO_004.bin.3",766
"MO_004.c_2189.region001","MO_004_c2189_001","site1","1","NRPS-like","NO","YES","MO_004.bin.10",1917
"MO_004.c_2190.region001","MO_004_c2190_001","site1","1","terpene","NO","YES","MO_004.bin.2",386
"MO_004.c_221.region001","MO_004_c221_001","site1","1","arylpolyene","NO","YES","MO_004.bin.1",634
"MO_004.c_2210.region001","MO_004_c2210_001","site1","1","T1PKS","NO","YES","MO_004.bin.12",2992
"MO_004.c_2269.region001","MO_004_c2269_001","site1","1","hglE-KS","NO","YES","MO_004.bin.11",1769
"MO_004.c_2296.region001","NA.","NA.","NA.","cyanobactin","NO","YES","MO_004.bin.12",45
"MO_004.c_24.region001","MO_004_c24_001","site1","1","bacteriocin","YES","YES","MO_004.bin.17",446
"MO_004.c_26.region001","MO_004_c26_001","site1","1","phosphonate","NO","YES","MO_004.bin.17",123
"MO_004.c_2665.region001","MO_004_c2665_001","site1","1","bacteriocin","NO","YES","MO_004.bin.11",1498
"MO_004.c_2757.region001","NA.","NA.","NA.","terpene","NO","YES","MO_004.bin.9",49
"MO_004.c_2815.region001","MO_004_c2815_001","site1","1","T1PKS","NO","YES","MO_004.bin.12",982
"MO_004.c_286.region001","MO_004_c286_001","site1","1","T1PKS","NO","YES","MO_004.bin.7",1043
"MO_004.c_3394.region001","MO_004_c3394_001","site1","1","hglE-KS","NO","YES","MO_004.bin.5",2873
"MO_004.c_3547.region001","MO_004_c3547_001","site1","1","NRPS","NO","YES","MO_004.bin.7",1617
"MO_004.c_3829.region001","MO_004_c3829_001","site1","1","T3PKS","NO","YES","MO_004.bin.1",687
"MO_004.c_3899.region001","NA.","NA.","NA.","acyl_amino_acids","NO","YES","MO_004.bin.11",55
"MO_004.c_3988.region001","MO_004_c3988_001","site1","1","T1PKS","NO","YES","MO_004.bin.16",1626
"MO_004.c_4005.region001","MO_004_c4005_001","site1","1","T3PKS","NO","YES","MO_004.bin.3",348
"MO_004.c_4109.region001","MO_004_c4109_001","site1","1","terpene","NO","YES","MO_004.bin.1",1092
"MO_004.c_4157.region001","MO_004_c4157_001","site1","1","T3PKS","NO","YES","MO_004.bin.12",270
"MO_004.c_4196.region001","MO_004_c4196_001","site1","1","terpene","NO","YES","MO_004.bin.11",1422
"MO_004.c_4208.region001","MO_004_c4208_001","site1","1","NRPS","NO","YES","MO_004.bin.2",644
"MO_004.c_430.region001","MO_004_c430_001","site1","1","TfuA-related","NO","YES","MO_004.bin.3",868
"MO_004.c_438.region001","MO_004_c438_001","site1","1","bacteriocin","YES","YES","MO_004.bin.5",63
"MO_004.c_488.region001","MO_004_c488_001","site1","1","NRPS","NO","YES","MO_004.bin.9",1526
"MO_004.c_500.region001","MO_004_c500_001","site1","1","bacteriocin","NO","YES","MO_004.bin.7",1478
"MO_004.c_587.region001","MO_004_c587_001","site1","1","terpene","NO","YES","MO_004.bin.8",1447
"MO_004.c_598.region001","MO_004_c598_001","site1","1","terpene","NO","YES","MO_004.bin.6",67
"MO_004.c_81.region001","MO_004_c81_001","site1","1","terpene","NO","YES","MO_004.bin.3",452
"MO_004.c_814.region001","MO_004_c814_001","site1","1","arylpolyene","NO","YES","MO_004.bin.4",1930
