Sequence_ID	Total_Contigs	Genome_length	Largest_Contig	n50	GC_Percent
MO_004.bin.10	47	295376	8399	6194	67
MO_004.bin.11	458	3860256	26373	8845	49
MO_004.bin.12	290	2075458	18815	7107	39
MO_004.bin.13	23	245677	24486	11566	54
MO_004.bin.14	394	3731998	38940	9879	70
MO_004.bin.15	78	501167	12050	6178	62
MO_004.bin.16	81	529559	11619	6181	54
MO_004.bin.17	77	5122530	448327	125078	48
MO_004.bin.1	441	3390481	23736	7768	71
MO_004.bin.2	169	1181353	14267	6857	64
MO_004.bin.3	431	4455399	38288	11287	66
MO_004.bin.4	85	556447	10727	6295	49
MO_004.bin.5	308	4077634	67730	16310	46
MO_004.bin.6	76	513594	11333	6644	62
MO_004.bin.7	399	3890539	45737	10367	61
MO_004.bin.8	94	666692	14598	7042	65
MO_004.bin.9	247	1900845	29218	7547	67
MO_005.bin.10	264	1977551	25957	7594	48
MO_005.bin.11	81	5067010	281494	101565	48
MO_005.bin.12	24	3571995	510290	271093	57
MO_005.bin.13	419	3565436	23861	8582	49
MO_005.bin.14	335	3387527	44811	11144	47
MO_005.bin.15	314	2597083	26570	8534	70
MO_005.bin.16	545	5167342	42159	9763	71
MO_005.bin.17	85	550718	16404	6413	62
MO_005.bin.18	9	3304791	1301794	476043	62
MO_005.bin.19	91	695358	55892	7643	63
MO_005.bin.1	46	298685	25517	6093	39
MO_005.bin.20	93	658044	14171	7021	49
MO_005.bin.2	48	289651	8604	5797	59
MO_005.bin.3	93	715421	17697	7544	65
MO_005.bin.4	412	3972961	37108	9941	66
MO_005.bin.5	361	3544247	37455	10008	61
MO_005.bin.6	227	1679319	19018	7117	67
MO_005.bin.7	87	536471	10772	6117	61
MO_005.bin.8	257	2208738	32104	8626	64
MO_005.bin.9	55	3689809	231411	115007	66
MO_007.bin.10	182	4676748	123339	37119	48
MO_007.bin.11	85	673498	20607	8121	51
MO_007.bin.12	34	239589	11800	6971	67
MO_007.bin.13	181	1288035	16149	6960	50
MO_007.bin.14	156	1075829	16730	6574	61
MO_007.bin.1	30	221311	16680	7525	67
MO_007.bin.2	183	1371792	25295	6799	50
MO_007.bin.3	260	2179106	25275	8617	62
MO_007.bin.4	16156	232048970	131586	17282	48
MO_007.bin.5	245	1985688	24400	8245	58
MO_007.bin.6	56	449664	16367	8955	50
MO_007.bin.7	294	2593764	27135	9013	66
MO_007.bin.8	184	1407437	22051	7717	59
MO_007.bin.9	43	282662	12759	6449	67
MO_010.bin.1	317	2650360	27038	8554	60
MO_010.bin.2	8457	76307018	75155	9297	50
MO_010.bin.3	237	4556811	130561	25794	48
MO_010.bin.4	7047	135708268	155550	25166	48
MO_010.bin.5	155	1168955	18959	7625	65
MO_010.bin.6	332	2705076	24498	8193	66
MO_010.bin.7	87	579094	11143	6545	50
MO_010.bin.8	92	565577	11448	5955	66
MO_034.bin.10	52	330058	12200	6267	62
MO_034.bin.11	154	1356502	31357	8723	62
MO_034.bin.12	166	1175605	20350	6947	66
MO_034.bin.1	45	776042	55737	22371	43
MO_034.bin.2	45	272707	9226	5805	46
MO_034.bin.3	10	209623	46817	32332	30
MO_034.bin.4	160	1147600	17017	6984	70
MO_034.bin.5	211	1454249	17694	6678	39
MO_034.bin.6	277	2709617	37295	10564	65
MO_034.bin.7	40	247326	17216	5924	60
MO_034.bin.8	35	241220	17115	6846	59
MO_034.bin.9	198	4829299	177635	36416	48
MO_035.bin.10	157	1293807	27169	8379	54
MO_035.bin.11	228	2907388	62560	14363	62
MO_035.bin.12	163	1301158	24743	7991	68
MO_035.bin.13	171	3159741	98473	23576	62
MO_035.bin.14	348	2730595	21570	7766	39
MO_035.bin.15	58	719505	41898	14495	43
MO_035.bin.16	245	4150194	85727	21573	69
MO_035.bin.17	250	4115549	71547	23013	50
MO_035.bin.18	254	2092416	28404	8138	49
MO_035.bin.19	120	916844	14971	7797	52
MO_035.bin.1	93	617401	12207	6560	63
MO_035.bin.20	136	942353	17923	6621	66
MO_035.bin.21	45	305062	16202	6526	54
MO_035.bin.22	52	4647886	523229	174444	61
MO_035.bin.23	43	343968	17693	8316	57
MO_035.bin.24	27	246147	17695	9386	19
MO_035.bin.25	57	3930391	336158	109877	58
MO_035.bin.26	484	5777337	54343	14230	52
MO_035.bin.27	37	370432	29683	11122	52
MO_035.bin.28	59	397491	12177	6572	60
MO_035.bin.29	204	1822105	37218	9149	63
MO_035.bin.2	135	3638617	171144	44703	63
MO_035.bin.30	211	3793216	113690	22980	65
MO_035.bin.31	188	1493135	53793	7771	59
MO_035.bin.3	148	1015862	12836	6664	63
MO_035.bin.4	227	4838782	111517	31172	69
MO_035.bin.5	84	543191	12869	6130	69
MO_035.bin.6	186	1526456	25759	8161	70
MO_035.bin.7	65	429342	12866	6518	70
MO_035.bin.8	114	812089	15606	7051	48
MO_035.bin.9	214	2359690	62789	12216	62
MO_039.bin.1	418	2899433	64221	6376	36
MO_039.bin.2	602	4936349	35933	8096	36
MO_039.bin.3	10	208489	51389	28674	30
MO_039.bin.4	144	1032807	17952	6872	40
MO_039.bin.5	96	976925	40744	10304	57
MO_039.bin.6	993	6732968	24036	6607	48
MO_039.bin.7	1736	13139383	33844	7500	53
MO_042.bin.1	1846	11791457	17624	6164	38
MO_042.bin.2	863	6082213	21467	6916	38
MO_042.bin.3	250	1780195	20051	7058	38
MO_046.bin.10	207	1718950	23307	8101	65
MO_046.bin.11	53	348215	12513	6179	47
MO_046.bin.12	302	2723436	33930	9089	46
MO_046.bin.13	90	589866	20747	6216	59
MO_046.bin.1	213	1635486	21702	7779	39
MO_046.bin.2	65	665453	26015	11279	42
MO_046.bin.3	205	1563621	17472	7449	58
MO_046.bin.4	77	525035	15170	6525	60
MO_046.bin.5	120	945728	22357	7788	62
MO_046.bin.6	134	5095454	252417	73520	48
MO_046.bin.7	262	1886663	24704	7237	49
MO_046.bin.8	530	5059632	52972	10003	39
MO_046.bin.9	358	3271952	27722	9461	66
MO_071.bin.10	234	2043484	28773	9072	62
MO_071.bin.11	40	267241	10278	6307	62
MO_071.bin.12	212	4771067	119137	36468	48
MO_071.bin.13	483	4333558	38639	9262	50
MO_071.bin.14	228	1576288	15312	6736	37
MO_071.bin.15	319	4122058	75489	15857	67
MO_071.bin.16	237	1934924	25189	8141	58
MO_071.bin.17	414	4657981	37403	12234	66
MO_071.bin.18	173	3339645	107739	25895	63
MO_071.bin.19	51	321742	10939	6219	59
MO_071.bin.1	278	4618808	124213	20927	46
MO_071.bin.20	155	1199669	20166	7479	44
MO_071.bin.21	122	905848	19000	7336	65
MO_071.bin.22	66	452720	14563	6406	62
MO_071.bin.23	239	3141264	58045	15058	63
MO_071.bin.24	41	273590	10936	6295	59
