genomeID	numBGCs
Acidobacteria_gp2_AA100	8
Acidobacteria_gp4_AA15	4
Acidobacteria_gp7_AA8	7
Acidobacteriota_Acidobacteriales	5
Acidobacteriota_Bryobacterales	8
Acidobacteriota_Geothrix	2
Acidobacteriota_Granulicella	6
Acidobacteriota_Holophaga	0
Acidobacteriota_Holophagae	1
Acidobacteriota_Pyrinomonadales	3
Acidobacteriota_Thermoanaerobaculales	3
Acidobacteriota_UBA5704J023	15
Acidobacteriota_UBA5704JAAYLR01	2
Acidobacteriota_UBA5704JACTMI01	2
Acidobacteriota_UBA5704QQVD01	16
Acidobacteriota_UBA5704SZUA115	31
Acidobacteriota_UBA5704UBA5704	66
Acidobacteriota_UBA5704WTGL01	5
Acidobacteriota_Vicinamibacterales	4
Acidobacteriota_WRHW01	3
Acidobacteriota_WTGL01	4
Actinobacteriota_Acidimicrobium	2
Actinobacteriota_Actinomarinaceae	0
Actinobacteriota_BOG793	1
Actinobacteriota_Ferrithrix	1
Actinobacteriota_Ilumatobacter	3
Actinobacteriota_Ilumatobacteraceae	0
Actinobacteriota_JACDCH01	2
Actinobacteriota_MedAcidiG1	0
Actinobacteriota_Microtrichaceae	3
Actinobacteriota_RAAP2	2
Actinobacteriota_SHLQ01	3
Actinobacteriota_SUZA442	0
Actinobacteriota_SZUA232	2
Actinobacteriota_TK06	1
Actinobacteriota_UBA4744	1
Actinobacteriota_VXNF01	4
Actinoplanes_globisporus_DSM_43857-11209493	9
AlphaProteo_Algimonas	5
AlphaProteo_Allosphingosinicella	4
AlphaProteo_Aquidulcibacter	3
AlphaProteo_Azospirillum	11
AlphaProteo_Blastomonas	5
AlphaProteo_Breoghania	9
AlphaProteo_BreoghaniaLA4	8
AlphaProteo_Caulobacterales	2
AlphaProteo_Dinoroseobacter	4
AlphaProteo_Dinoroseobactershibae	6
AlphaProteo_Eilatimonas	10
AlphaProteo_Emcibacter	5
AlphaProteo_Erythrobacter	2
AlphaProteo_ErythrobacterJL475	2
AlphaProteo_ErythrobacterYT30	3
AlphaProteo_Erythrobactersp	1
AlphaProteo_Ferrovibrio	4
AlphaProteo_GH150	5
AlphaProteo_Glycocaulis	6
AlphaProteo_Hellea	3
AlphaProteo_Henriciella	2
AlphaProteo_HenriciellaMor2	2
AlphaProteo_Hwanghaeella	4
AlphaProteo_Hyphobacterium	1
AlphaProteo_Hyphomonas	4
AlphaProteo_Insolitispirillum	5
AlphaProteo_Kordiimonas	3
AlphaProteo_Limibacillus	5
AlphaProteo_Maricaulis	1
AlphaProteo_Methyloceanibacter	6
AlphaProteo_Nioella	6
AlphaProteo_Nitrospirillum	9
AlphaProteo_Novosphingobium	5
AlphaProteo_Oceanibaculum	13
AlphaProteo_Oleisolibacter	7
AlphaProteo_PRO5	5
AlphaProteo_Pacificibacter	5
AlphaProteo_Paracoccus	5
AlphaProteo_Ponticaulis	1
AlphaProteo_Pseudorhodobacter	6
AlphaProteo_Rhodobacter	4
AlphaProteo_Rhodospira	8
AlphaProteo_Roseobacter	8
AlphaProteo_Roseovarius	1
AlphaProteo_Ruegeria	10
AlphaProteo_Sphingomonas	4
AlphaProteo_Tabrizicola	4
AlphaProteo_Tateyamaria	6
AlphaProteo_Terricaulis	3
AlphaProteo_Tranquillimonas	7
AlphaProteo_Tropicimonas	7
AlphaProteo_UBA5336	3
AlphaProteo_Wagnerdoeblera	3
AlphaProteo_Yoonia	5
AlphaProteo_Zymomonas	2
Amycolatopsis_mediterranei_S699-71360412	29
Angelobacter-BW1159607	18
Angelobacter-SRVP1	38
Angelobacter-SRVP2	24
Angelobacter-SRVP3	26
Angelobacter_gp1_AA117	29
Aquifex_aeolicus_VF5-2243248	4
Aquificota_Desulfurobacterium	0
Aquificota_Hydrogenivirga	2
Aquificota_Hydrogenobacter	2
Aquificota_Hydrogenothermus	1
Aquificota_Persephonella	2
Aquificota_Phorcysia	0
Aquificota_QOAS01	0
Aquificota_Sulfurihydrogenibium	2
Aquificota_Thermocrinis	2
Aquificota_Thermovibrio	0
Arthrobacter_aurescens_TC1-29034010	8
Asanoa_ishikariensis_strain_DSM_44718-1372653	16
Aureabacteria_SURF26	3
Aureabacteria_UBA6266	0
Bacillus_subtilis_subsp_subtilis_str_168-22430843	12
Bacteroides_vulgatus_ATCC_8482-4355909	1
Bacteroidota_Aequorivita	4
Bacteroidota_Aestuariibaculum	1
Bacteroidota_Algibacter	2
Bacteroidota_Algorimicrobium	2
Bacteroidota_Antarcticibacterium	3
Bacteroidota_Cytophagales	3
Bacteroidota_Flavobacterium	4
Bacteroidota_Flectobacillus	3
Bacteroidota_Fluviicola	6
Bacteroidota_Kordia	7
Bacteroidota_Lacinutrix	2
Bacteroidota_Maribacter	4
Bacteroidota_Marinirhabdus	4
Bacteroidota_Mucilaginibacter	5
Bacteroidota_Nonlabens	3
Bacteroidota_Psychroflexus	3
Burkholderia_cenocepacia_HI2424-3312728	14
Chlamydiota_Criblamydiaceae	3
Chlamydiota_JAAKFF01	2
Chlamydiota_JAAKFQ01	1
Chlamydiota_JAAKFR01	2
Chlamydiota_Parachlamydiaceae	4
Chlamydiota_RGXB01	1
